sz,times,dv
8,4.399171513,0.040912295070899996
16,4.336414034,0.0351249536754
32,4.430998852,0.028801492538
64,4.351623444,0.0278503900416
128,4.389266849,0.025018821039299997
16,4.312441045,0.026737134479
32,4.427640133,0.0283368968512
64,4.631146318,0.025471304749000005
128,4.450204985,0.0271462504085
256,4.458361697,0.021845972315299996
32,4.5482173,0.036385738400000006
64,4.680165241,0.0201247105363
128,4.872945291,0.0302122608042
256,4.600014431,0.0317400995739
512,4.633115968,0.038454862534399996
64,4.781645824,0.0162575958016
128,4.979982289,0.022409920300499996
256,5.348973348,0.021930790726799997
512,4.953508823,0.051021140876900004
1024,4.899242324,0.03184507510600001
128,5.318638206,0.0202108251828
256,5.736727409,0.0252416005996
512,6.478751617,0.0803365200508
1024,5.34407338,0.031530032942
2048,5.367515387,0.0246905707802
