ID,T1a,T1b,T2a,T2b,T3a,T3b
11,8.35,8.25,14.73,14.79,20.22,20.20
12,7.58,7.39,14.27,14.03,20.99,19.84
21,9.48,9.42,17.10,17.08,24.05,23.97
22,9.48,9.35,16.70,16.58,23.15,22.99
41,10.01,9.6,17.01,16.45 ,23.12,22.63
42,9.87,10,16.82,17.22,22.69,22.9
