,média,desvio padrão,mínimo,máximo
acc pcr,0.6908975183963776,0.016073698997497554,0.6550335884094238,0.7144772410392761
acc igg,0.7616152167320251,0.019816601276397706,0.7321428656578064,0.8035714626312256
acc igm,0.7854145109653473,0.038764866590499866,0.7037037014961243,0.8440366387367249
