,média,desvio padrão,mínimo,máximo
acc pcr,0.8005952894687652,0.023958342075347906,0.7142857313156128,0.828125
acc igg,0.7910714685916901,0.05064485669136047,0.6984127163887024,0.859375
acc igm,0.7829613566398621,0.04114086389541627,0.682539701461792,0.875
