,média,desvio padrão,mínimo,máximo
acc pcr,0.7974702894687653,0.02217262387275696,0.7460317611694336,0.8412699103355408
acc igg,0.7926587760448456,0.052232152223587035,0.6984127163887024,0.8730159401893616
acc igm,0.7844990432262421,0.04433035016059876,0.7301587462425232,0.90625
