time;ax;ay;az;aT
0.003000;-0.7046;0.5079;-2.1902;2.356
0.008000;-0.1826;0.9094;-0.7951;1.222
0.017000;0.3027;1.2280;0.5196;1.367
0.027000;0.5191;1.2683;1.4402;1.988
0.040000;0.6582;1.1397;1.8451;2.266
0.047000;0.5307;0.8811;1.7632;2.041
0.057000;0.2697;0.5698;1.3185;1.461
0.068000;-0.0234;0.2557;0.6723;0.720
0.077000;-0.2699;0.0185;0.0852;0.284
0.088000;-0.3783;-0.0711;-0.2807;0.476
0.098000;-0.4444;-0.0931;-0.2987;0.543
0.107000;-0.4044;-0.0661;-0.1020;0.422
0.117000;-0.2345;-0.0524;0.1280;0.272
0.127000;-0.1399;-0.1153;0.3305;0.377
0.138000;-0.1673;-0.2083;0.5057;0.572
0.148000;-0.1825;-0.2967;0.6143;0.706
0.157000;-0.2139;-0.4277;0.5153;0.703
0.167000;-0.2595;-0.5297;0.2615;0.645
0.177000;-0.3378;-0.5287;-0.0741;0.632
0.188000;-0.2030;-0.4135;-0.2973;0.548
0.197000;-0.0725;-0.2427;-0.4581;0.523
0.208000;-0.0202;-0.0842;-0.5195;0.527
0.217000;0.0482;0.0674;-0.4682;0.475
0.228000;0.1281;0.1695;-0.4391;0.488
0.238000;0.1220;0.1707;-0.5769;0.614
0.247000;0.0644;0.0925;-0.6967;0.706
0.257000;0.0270;0.0574;-0.5144;0.518
0.267000;0.0163;0.0046;-0.1439;0.145
0.278000;0.0119;-0.0504;0.1620;0.170
0.288000;-0.0306;-0.1588;0.3440;0.380
0.297000;-0.0749;-0.2687;0.3721;0.465
0.307000;-0.1325;-0.3003;0.3981;0.516
0.317000;-0.1320;-0.2831;0.3546;0.473
0.327000;-0.1487;-0.2820;0.1903;0.371
0.338000;-0.1945;-0.2775;0.0738;0.347
0.348000;-0.2761;-0.2549;0.1167;0.393
0.357000;-0.3239;-0.1974;0.2740;0.468
0.368000;-0.2576;-0.1251;0.3695;0.467
0.378000;-0.2130;-0.1213;0.3345;0.415
0.388000;-0.2184;-0.1123;0.2327;0.338
0.397000;-0.2120;-0.0873;0.1274;0.262
0.408000;-0.1602;-0.0512;0.0078;0.168
0.417000;-0.1187;-0.0018;-0.1194;0.168
0.427000;-0.1002;0.0563;-0.1768;0.211
0.438000;-0.0477;0.1233;-0.1550;0.204
0.447000;0.0498;0.2075;-0.0744;0.226
0.457000;0.1755;0.3014;-0.0126;0.349
0.467000;0.2597;0.3772;-0.0363;0.459
0.478000;0.3085;0.4112;-0.1050;0.525
0.488000;0.3249;0.4577;-0.2010;0.596
0.497000;0.2817;0.4518;-0.2062;0.571
0.508000;0.0728;0.3705;0.0414;0.380
0.517000;0.0195;0.3257;0.3487;0.478
0.528000;0.0014;0.2942;0.7183;0.776
0.538000;0.0087;0.2662;0.9448;0.982
0.551000;0.0228;0.2352;0.9685;0.997
0.558000;0.0785;0.2520;0.8572;0.897
0.568000;0.1520;0.2912;0.6474;0.726
0.578000;0.1839;0.3249;0.4477;0.583
0.589000;0.1763;0.3486;0.2087;0.443
0.598000;0.1306;0.3720;-0.0085;0.394
0.608000;0.0954;0.3543;-0.1776;0.408
0.618000;0.0755;0.3264;-0.3083;0.455
0.628000;0.0743;0.2848;-0.3540;0.460
0.638000;0.1292;0.2647;-0.2766;0.404
0.651000;0.2008;0.2506;-0.1682;0.363
0.658000;0.2474;0.2138;-0.1329;0.353
0.668000;0.2741;0.1893;-0.2007;0.389
0.678000;0.2769;0.1966;-0.2017;0.395
0.688000;0.2614;0.2049;-0.1242;0.355
0.698000;0.2084;0.1632;-0.0006;0.265
0.709000;0.1479;0.0751;0.0710;0.180
0.717000;0.0651;-0.0319;0.0775;0.106
0.728000;-0.0198;-0.1242;0.1038;0.163
0.738000;-0.0568;-0.1666;0.1818;0.253
0.751000;-0.0948;-0.2084;0.2579;0.345
0.759000;-0.1369;-0.2342;0.3321;0.429
0.768000;-0.1620;-0.2731;0.4322;0.536
0.778000;-0.1766;-0.2781;0.4688;0.573
0.788000;-0.1785;-0.2437;0.4660;0.555
0.798000;-0.1592;-0.2143;0.3929;0.475
0.809000;-0.1194;-0.1391;0.3214;0.370
0.818000;-0.0433;-0.0721;0.1775;0.196
0.828000;0.0133;-0.0396;-0.0366;0.056
0.838000;-0.0189;0.0003;-0.3664;0.367
0.850000;-0.0794;0.0018;-0.4113;0.419
0.859000;-0.1388;-0.0116;-0.4064;0.430
0.868000;-0.1841;-0.0551;-0.3052;0.361
0.878000;-0.2256;-0.1065;-0.1785;0.307
0.888000;-0.2187;-0.1142;0.0024;0.247
0.898000;-0.1494;-0.0885;0.1760;0.247
