time;ax;ay;az;aT
0.003000;-0.1341;0.0824;-0.2262;0.276
0.003000;-0.0978;0.0556;-0.7642;0.772
0.006000;-0.0107;-0.0537;-1.1577;1.159
0.012000;0.0739;-0.1682;-1.3816;1.394
0.016000;0.1088;-0.2041;-1.4754;1.493
0.020000;0.0796;-0.1760;-1.4542;1.467
0.029000;0.0116;-0.0676;-1.2734;1.275
0.031000;-0.0509;0.0720;-0.9788;0.983
0.038000;-0.1074;0.1653;-0.6231;0.654
0.041000;-0.1024;0.2325;-0.2441;0.352
0.048000;-0.0642;0.2318;0.0824;0.254
0.050000;-0.0057;0.2193;0.3832;0.442
0.055000;0.0415;0.1864;0.5782;0.609
0.060000;0.0489;0.1801;0.7203;0.744
0.065000;0.0306;0.1660;0.7959;0.814
0.070000;-0.0093;0.1987;0.8411;0.864
0.075000;-0.0521;0.2587;0.7942;0.837
0.080000;-0.1050;0.2339;0.6724;0.720
0.084000;-0.1274;0.2368;0.5379;0.601
0.089000;-0.1547;0.1868;0.3598;0.434
0.094000;-0.1890;0.1469;0.1451;0.280
0.099000;-0.2296;0.1270;-0.0370;0.265
0.104000;-0.2780;0.0994;-0.2608;0.394
0.115000;-0.3431;0.1172;-0.4286;0.561
0.116000;-0.3381;0.0548;-0.5410;0.640
0.118000;-0.3653;0.0368;-0.6079;0.710
0.125000;-0.3621;0.0681;-0.6487;0.746
0.129000;-0.3452;0.0415;-0.6184;0.709
0.133000;-0.3242;0.0333;-0.5982;0.681
0.138000;-0.2756;0.0412;-0.5214;0.591
0.146000;-0.2619;0.0313;-0.4217;0.497
0.148000;-0.2428;0.0297;-0.3156;0.399
0.153000;-0.2191;0.0383;-0.2007;0.300
0.159000;-0.2171;0.0591;-0.0937;0.244
0.163000;-0.1920;0.0419;0.0032;0.197
0.168000;-0.1823;0.0387;0.0973;0.210
0.172000;-0.1519;0.0183;0.1339;0.203
0.177000;-0.1273;0.0021;0.1539;0.200
0.182000;-0.1514;-0.0195;0.1835;0.239
0.187000;-0.1597;-0.0419;0.2060;0.264
0.193000;-0.1998;-0.0670;0.2071;0.295
0.197000;-0.2525;-0.0521;0.2084;0.332
0.202000;-0.2651;-0.0971;0.2074;0.350
0.207000;-0.2922;-0.1186;0.1969;0.372
0.216000;-0.3167;-0.1403;0.1604;0.382
0.217000;-0.3360;-0.1550;0.1313;0.393
0.221000;-0.3259;-0.1768;0.0834;0.380
0.226000;-0.3008;-0.1293;0.0356;0.329
0.232000;-0.2919;-0.1366;-0.0191;0.323
0.236000;-0.2516;-0.1386;-0.0713;0.296
0.241000;-0.2256;-0.1068;-0.0686;0.259
0.246000;-0.1873;-0.0913;-0.0566;0.216
0.252000;-0.1395;-0.0897;-0.0709;0.180
0.256000;-0.1229;-0.0330;-0.0471;0.136
0.262000;-0.0850;-0.0145;0.0170;0.088
0.266000;-0.0382;-0.0008;0.0379;0.054
0.271000;-0.0062;-0.0255;0.0587;0.064
0.278000;-0.0056;-0.0192;0.0819;0.084
0.280000;0.0382;-0.0154;0.1002;0.108
0.285000;0.0772;0.0116;0.1329;0.154
0.290000;0.0464;0.0287;0.1346;0.145
0.295000;-0.0018;0.0263;0.1387;0.141
0.300000;-0.0313;0.0354;0.1048;0.115
0.305000;-0.0539;0.0438;0.0879;0.112
0.310000;-0.0624;0.0302;0.0474;0.084
0.314000;-0.0089;-0.0075;0.0096;0.015
0.319000;0.0062;-0.0168;-0.0423;0.046
0.326000;0.0310;0.0073;-0.1011;0.106
0.330000;0.0513;0.0002;-0.1191;0.130
0.334000;0.0645;0.0053;-0.1538;0.167
0.338000;0.0682;0.0299;-0.1646;0.181
0.344000;0.0745;0.0285;-0.2112;0.226
0.349000;0.0834;0.0370;-0.2196;0.238
0.354000;0.1069;0.0508;-0.2281;0.257
0.358000;0.0950;0.0438;-0.2224;0.246
0.364000;0.0764;0.0325;-0.1717;0.191
0.369000;0.0772;0.0406;-0.1545;0.177
