time;ax;ay;az;aT
0.004000;0.0258;0.1527;-0.0602;0.166
0.004000;-0.0241;0.0496;0.4386;0.442
0.021000;0.0134;0.0076;0.7388;0.739
0.022000;0.1369;-0.0558;0.9258;0.938
0.031000;0.3314;-0.0935;0.9156;0.978
0.042000;0.1224;-0.0762;0.9319;0.943
0.060000;-0.0037;-0.0413;0.5918;0.593
0.061000;-0.0041;0.1472;0.3969;0.423
0.077000;-0.1564;0.1152;0.2607;0.325
0.081000;-0.0973;0.1195;0.0288;0.157
0.095000;-0.1895;0.1004;0.0317;0.217
0.102000;-0.1706;0.0744;0.0060;0.186
0.111000;-0.0613;0.1676;0.1249;0.218
0.139000;-0.0299;0.1436;0.2127;0.258
0.140000;-0.0049;0.1457;0.2859;0.321
0.149000;-0.0118;0.1419;0.2730;0.308
0.159000;-0.0325;0.1496;0.1823;0.238
0.161000;-0.0704;0.1448;0.1839;0.244
0.178000;-0.0465;0.1278;0.1771;0.223
0.181000;-0.0300;0.1032;0.1849;0.214
0.195000;-0.0363;0.0989;-0.0227;0.108
0.247000;0.0142;0.0513;-0.0949;0.109
0.248000;0.1472;0.0334;0.0206;0.152
0.248000;0.2961;0.0779;0.2139;0.374
0.248000;0.2926;0.0843;0.2669;0.405
0.248000;0.2105;0.0085;0.3287;0.390
0.257000;0.1557;-0.0317;0.3163;0.354
0.267000;0.1100;-0.0349;0.2179;0.247
0.271000;0.0458;-0.0198;0.1032;0.115
0.281000;0.0137;-0.0353;0.0066;0.038
0.292000;0.0265;-0.0286;0.0527;0.066
0.325000;0.0303;-0.0410;0.1310;0.141
0.326000;-0.0218;-0.0445;0.1784;0.185
0.326000;-0.0301;-0.0459;0.1480;0.158
0.332000;-0.0457;-0.0625;0.0877;0.117
0.342000;-0.0532;-0.0698;0.0047;0.088
0.359000;-0.0729;-0.0571;0.0017;0.093
0.361000;-0.0856;-0.0263;0.0452;0.100
0.378000;-0.0913;-0.0151;0.0647;0.113
0.381000;-0.0922;-0.0232;0.0783;0.123
0.396000;-0.0218;0.0063;0.1146;0.117
0.442000;-0.0046;0.0093;0.0635;0.064
0.443000;-0.0329;0.0087;0.0257;0.043
0.443000;-0.0096;0.0444;0.0119;0.047
0.444000;0.0316;0.0979;-0.0104;0.103
0.444000;0.0275;0.1397;-0.0794;0.163
0.452000;-0.0293;0.1448;-0.2048;0.253
0.463000;-0.1558;0.1188;-0.3066;0.364
0.471000;-0.2414;0.1488;-0.3047;0.416
0.481000;-0.2712;0.2370;-0.2254;0.425
0.495000;-0.2769;0.2266;-0.2533;0.438
0.502000;-0.0816;0.1916;0.0058;0.208
0.511000;-0.1092;0.1982;0.0032;0.226
0.535000;0.0576;0.2354;0.4158;0.481
0.536000;0.3293;0.2585;1.1181;1.194
0.546000;0.3792;0.2024;1.1075;1.188
0.561000;0.3275;0.1867;0.9262;1.000
0.562000;0.1824;0.2380;0.6439;0.710
0.578000;0.1139;0.3104;0.3384;0.473
0.581000;0.0878;0.3478;0.1672;0.396
0.595000;0.1424;0.3525;0.1121;0.396
0.604000;0.2366;0.4343;0.2413;0.550
0.612000;0.2434;0.3870;0.4253;0.624
0.639000;0.2158;0.2818;0.5326;0.640
0.640000;0.1551;0.1772;0.5956;0.640
0.642000;0.0855;0.1713;0.6971;0.723
0.654000;0.0508;0.1640;0.8336;0.851
0.661000;0.0545;0.1596;0.8038;0.821
0.672000;0.0374;0.1267;0.6343;0.648
0.681000;0.0051;0.0808;0.4087;0.417
0.698000;-0.0548;0.0584;0.1941;0.210
0.704000;-0.0585;0.0560;0.0250;0.085
0.711000;-0.0476;0.0655;-0.2183;0.233
0.742000;-0.0307;0.0410;-0.3814;0.385
0.743000;0.0156;-0.0172;-0.4322;0.433
0.744000;0.0503;-0.0534;-0.3456;0.353
0.753000;0.0711;-0.0753;-0.1551;0.186
0.761000;0.0863;-0.0846;0.0423;0.128
0.771000;0.1010;-0.1580;0.2766;0.334
0.781000;0.1350;-0.1996;0.3530;0.427
0.796000;0.1678;-0.2760;0.3792;0.498
0.804000;0.1834;-0.3303;0.2931;0.478
0.811000;0.1674;-0.3111;0.1785;0.396
0.857000;0.1640;-0.2701;0.0735;0.324
0.858000;0.1144;-0.2685;-0.0338;0.294
0.859000;0.0815;-0.2696;-0.0730;0.291
0.860000;0.1101;-0.2405;-0.0680;0.273
0.862000;0.0349;-0.1903;-0.0343;0.196
0.872000;-0.0314;-0.1791;-0.0592;0.191
0.881000;-0.0460;-0.1852;-0.1045;0.218
0.892000;-0.0138;-0.1898;-0.1078;0.219
0.931000;0.0146;-0.2014;-0.1579;0.256
0.933000;0.0012;-0.2115;-0.2333;0.315
0.934000;-0.0301;-0.1829;-0.2082;0.279
0.936000;-0.0682;-0.0924;-0.0503;0.125
0.941000;-0.1377;-0.0760;0.0692;0.172
0.954000;-0.1697;-0.0905;0.1684;0.256
0.961000;-0.1979;-0.0684;0.2114;0.298
0.971000;-0.2362;-0.0108;0.1349;0.272
0.981000;-0.2157;0.0154;-0.0110;0.216
0.992000;-0.1730;0.0321;-0.0277;0.178
1.049000;-0.0236;0.0393;0.1492;0.156
1.051000;0.1333;0.0486;0.3570;0.384
1.052000;0.2003;0.0493;0.4797;0.522
1.054000;0.1475;0.0177;0.4410;0.465
1.055000;0.0134;-0.0131;0.2505;0.251
1.056000;-0.0581;-0.0245;0.1201;0.136
1.061000;-0.0057;-0.0145;0.0951;0.096
1.071000;0.0713;-0.0008;0.1108;0.132
1.081000;0.1035;-0.0189;0.1348;0.171
1.093000;0.1000;-0.0322;0.1109;0.153
1.101000;0.0959;0.0028;0.1216;0.155
1.130000;0.0861;0.0422;0.1322;0.163
1.132000;0.0592;0.0595;0.1630;0.183
1.132000;0.0001;0.0599;0.1903;0.199
1.141000;-0.1039;0.0058;0.2307;0.253
1.151000;0.0276;0.0748;0.2388;0.252
1.161000;0.0275;0.0464;0.1657;0.174
1.174000;0.0384;0.0405;0.0160;0.058
1.181000;0.0298;-0.0017;-0.1229;0.126
1.207000;-0.0162;0.0456;-0.0584;0.076
1.208000;-0.0627;0.0469;0.0564;0.097
1.211000;-0.1173;0.0732;0.1867;0.232
1.221000;-0.1457;0.1008;0.3398;0.383
1.231000;-0.1428;0.1015;0.4631;0.495
1.241000;-0.0552;0.0802;0.4620;0.472
1.253000;0.0218;0.0655;0.3870;0.393
1.261000;0.0434;0.1301;0.3037;0.333
1.272000;0.0470;0.1727;0.2278;0.290
1.281000;0.0544;0.1567;0.1065;0.197
1.292000;0.0529;0.1534;0.0175;0.163
1.301000;0.0209;0.1862;-0.0032;0.187
1.313000;-0.0589;0.1993;0.1111;0.236
1.363000;-0.0950;0.1981;0.2242;0.314
1.365000;-0.1100;0.1963;0.2582;0.342
1.366000;-0.1472;0.1673;0.2216;0.314
1.368000;-0.1463;0.1763;0.2498;0.339
1.369000;-0.1215;0.2033;0.3068;0.388
1.375000;-0.0839;0.2106;0.3136;0.387
1.381000;-0.0675;0.1913;0.3217;0.380
1.392000;-0.0591;0.1746;0.3215;0.371
1.401000;-0.0240;0.1399;0.3621;0.389
1.426000;-0.0057;0.1277;0.4398;0.458
1.427000;-0.0333;0.1473;0.5486;0.569
1.431000;-0.0819;0.1710;0.7855;0.808
1.441000;-0.1106;0.2053;0.9305;0.959
1.451000;-0.1044;0.1804;0.9550;0.977
1.461000;-0.0851;0.1646;0.8985;0.917
1.474000;-0.0548;0.1089;0.8173;0.826
1.482000;0.0106;0.1445;0.7292;0.743
1.523000;0.0644;0.0996;0.6545;0.665
1.525000;0.1280;0.1080;0.4316;0.463
1.526000;0.1123;0.1717;0.2471;0.321
1.527000;0.0733;0.2386;-0.1349;0.284
1.531000;-0.1003;0.0521;-0.3927;0.409
1.541000;0.0116;0.1339;-0.5298;0.547
1.551000;-0.0065;0.1009;-0.5477;0.557
1.561000;-0.0889;0.0244;-0.4764;0.485
1.576000;-0.1505;0.0437;-0.2656;0.308
1.581000;-0.2080;0.1036;0.0152;0.233
1.616000;-0.1810;0.1475;0.2262;0.325
1.617000;-0.1428;0.1269;0.2229;0.294
1.618000;-0.0873;0.1073;0.0617;0.152
1.625000;0.0549;0.0347;-0.0815;0.104
1.631000;0.1271;-0.0399;-0.0262;0.136
1.641000;0.1829;-0.0619;0.1794;0.264
1.652000;0.2009;-0.1230;0.2838;0.369
1.661000;0.1936;-0.1634;-0.1185;0.280
1.676000;0.0558;-0.1553;-0.3377;0.376
1.681000;0.1167;-0.0705;-0.1102;0.175
1.716000;0.1620;0.0836;-0.0327;0.185
1.717000;-0.0002;0.0874;0.0174;0.089
1.718000;-0.0490;-0.0643;-0.1020;0.130
1.725000;0.1113;-0.1294;-0.3093;0.353
1.731000;0.2299;-0.1549;-0.5483;0.614
1.741000;0.1518;-0.1736;-0.7279;0.764
1.752000;0.0574;-0.1336;-0.6822;0.698
1.761000;-0.0536;-0.1255;-0.5169;0.535
1.779000;-0.1381;-0.0480;-0.3539;0.383
1.782000;-0.2134;-0.0466;-0.1494;0.265
1.826000;-0.1972;-0.0707;0.0105;0.210
1.828000;-0.1972;-0.1174;0.1356;0.267
1.829000;-0.2000;-0.1633;0.1411;0.294
1.829000;-0.2004;-0.2197;0.1252;0.323
1.831000;-0.1586;-0.2308;0.1407;0.313
1.841000;-0.1073;-0.1881;0.0835;0.232
1.851000;0.1304;-0.0944;-0.1411;0.214
1.861000;-0.0790;-0.1474;-0.1009;0.195
1.875000;0.0398;-0.0514;-0.2246;0.234
1.881000;0.0750;-0.0707;-0.0697;0.124
1.911000;0.0095;-0.0726;0.1507;0.168
1.913000;0.1188;-0.0192;0.2439;0.272
1.914000;0.1630;-0.0419;0.2030;0.264
1.922000;0.1687;-0.0354;0.0617;0.183
1.931000;0.1749;-0.0495;-0.0889;0.202
1.942000;0.1910;-0.0398;-0.2334;0.304
1.951000;0.2173;-0.0496;-0.3168;0.387
1.961000;0.2563;-0.0781;-0.3383;0.432
1.975000;0.2323;-0.1066;-0.2224;0.339
1.983000;0.2498;-0.0344;0.0177;0.253
2.032000;0.2453;0.0759;0.2541;0.361
2.033000;0.2278;0.1392;0.3946;0.476
2.034000;0.2310;0.1043;0.4142;0.486
2.036000;0.2350;0.0778;0.3895;0.462
2.037000;0.2356;0.1160;0.3902;0.470
2.042000;0.1776;0.1294;0.3601;0.422
2.051000;0.1244;0.0961;0.3230;0.359
2.062000;0.1472;0.1218;0.2969;0.353
2.072000;0.1304;0.1634;0.2852;0.354
2.081000;0.0592;0.1577;0.2510;0.302
2.091000;-0.0087;0.1302;0.2240;0.259
2.101000;-0.0529;0.1261;0.2267;0.265
2.146000;-0.0534;0.1612;0.2844;0.331
2.147000;-0.0488;0.1594;0.3174;0.359
2.148000;-0.0799;0.1286;0.3196;0.354
2.156000;-0.0894;0.1314;0.4301;0.458
2.166000;-0.0803;0.1554;0.6495;0.673
