time;ax;ay;az;aT
0.005000;-0.4452;-0.2669;0.7904;0.946
0.005000;-0.1710;-0.2234;0.3651;0.461
0.005000;0.2050;-0.1839;0.1446;0.311
0.012000;0.4532;-0.0582;-0.0540;0.460
0.031000;0.5492;0.1660;-0.2035;0.609
0.031000;0.5706;0.3433;-0.3012;0.731
0.047000;0.5269;0.3961;-0.2183;0.694
0.050000;0.3679;0.3330;-0.1407;0.516
0.061000;0.0913;0.1993;0.0371;0.222
0.071000;-0.2033;0.0452;0.2629;0.335
0.080000;-0.3528;-0.1082;0.4387;0.573
0.090000;-0.3647;-0.1719;0.4918;0.636
0.101000;-0.2535;-0.1387;0.4519;0.536
0.111000;-0.1084;-0.0244;0.2745;0.296
0.121000;0.0279;0.1041;-0.0056;0.108
0.130000;0.1119;0.2028;-0.1916;0.301
0.140000;0.1206;0.2721;-0.1986;0.358
0.150000;0.1019;0.2667;-0.1303;0.314
0.160000;0.0558;0.2295;-0.0172;0.237
0.172000;0.0392;0.1722;0.1748;0.248
0.180000;0.0315;0.1117;0.4809;0.495
0.190000;-0.0756;-0.0656;0.4011;0.413
0.200000;-0.1638;-0.1132;0.2982;0.359
0.210000;-0.2199;-0.1353;0.1837;0.317
0.222000;-0.2086;-0.1181;0.0956;0.258
0.230000;-0.1435;-0.0812;0.1258;0.207
0.240000;-0.0542;-0.0450;0.2480;0.258
0.250000;0.0263;-0.0438;0.3092;0.313
0.260000;0.0565;-0.0830;0.2643;0.283
0.271000;0.0055;-0.1619;0.1374;0.212
0.280000;-0.0084;-0.2083;-0.0047;0.208
0.290000;0.0142;-0.1987;-0.1335;0.240
0.301000;0.0149;-0.1242;-0.1372;0.186
0.310000;-0.0039;-0.0911;0.0523;0.105
0.323000;0.0421;-0.0569;0.1827;0.196
0.330000;0.0292;-0.0873;0.2526;0.269
0.341000;0.0254;-0.0646;0.2339;0.244
0.350000;-0.0083;-0.0826;0.1421;0.165
0.361000;0.0192;-0.0899;0.0684;0.115
0.372000;0.0248;-0.1139;0.0927;0.149
0.380000;0.0339;-0.1249;0.1477;0.196
0.391000;0.0340;-0.0645;0.2420;0.253
0.400000;0.0736;0.0727;0.3553;0.370
0.410000;0.1532;0.1384;0.4067;0.456
0.423000;0.1871;0.1648;0.3903;0.463
0.430000;0.1601;0.2081;0.2212;0.343
0.441000;0.1334;0.2280;-0.0057;0.264
0.450000;0.1321;0.2047;-0.0223;0.245
0.460000;0.1615;0.1860;0.1565;0.292
0.471000;0.1718;0.1873;0.2201;0.336
0.480000;0.1475;0.2499;0.1357;0.320
0.491000;0.0377;0.2455;-0.0118;0.249
0.500000;-0.0637;0.2016;-0.1472;0.258
0.515000;-0.1112;0.1178;-0.0746;0.178
0.523000;-0.0876;0.0525;0.0260;0.105
0.531000;-0.0470;0.0979;-0.0150;0.110
0.552000;-0.0067;0.1065;-0.0540;0.120
0.554000;0.0306;0.1089;-0.0421;0.121
0.560000;0.0174;0.0538;0.0532;0.078
0.572000;0.0033;-0.0108;0.2139;0.214
0.580000;-0.0439;-0.0796;0.4190;0.429
0.591000;-0.0936;-0.1229;0.4227;0.450
0.601000;-0.1226;-0.1594;0.4310;0.476
0.618000;-0.1000;-0.1957;0.4336;0.486
0.623000;-0.0662;-0.0332;0.2682;0.278
0.631000;0.0285;-0.0095;0.1356;0.139
0.650000;0.0877;-0.0582;0.0710;0.127
0.669000;0.1223;-0.1274;0.1215;0.214
0.670000;0.0840;-0.2148;0.2041;0.308
0.671000;-0.0346;-0.3074;0.3616;0.476
0.681000;-0.0926;-0.3597;0.4635;0.594
0.690000;-0.0932;-0.3186;0.3876;0.510
0.701000;-0.0895;-0.1989;0.3625;0.423
0.715000;-0.0160;-0.0787;0.2915;0.302
0.723000;0.1151;-0.0161;0.2295;0.257
0.731000;0.2417;-0.0115;0.3197;0.401
0.744000;0.3202;-0.0223;0.4769;0.575
0.750000;0.3265;-0.0274;0.4583;0.563
0.760000;0.2664;-0.0563;0.3444;0.439
0.772000;0.0665;-0.1115;0.0975;0.162
0.780000;-0.1968;-0.1123;-0.0889;0.243
0.791000;-0.3309;-0.1263;-0.3246;0.480
0.801000;-0.3161;-0.1503;-0.4226;0.549
0.814000;-0.2383;-0.1432;-0.3782;0.469
0.823000;-0.1031;-0.1696;-0.2678;0.333
0.831000;0.0598;-0.1661;0.0293;0.179
0.847000;0.2365;-0.1987;0.3515;0.468
0.851000;0.4337;-0.1250;0.2099;0.498
0.861000;0.4095;0.0314;-0.2120;0.462
0.873000;0.3516;0.2164;-0.5537;0.691
0.881000;0.2602;0.2201;-0.6041;0.694
0.891000;0.3221;0.1436;-0.6010;0.697
0.901000;0.3683;0.3750;-0.5753;0.779
0.910000;0.3138;0.4221;-0.5897;0.790
0.926000;0.2845;0.3878;-0.2773;0.555
0.930000;0.1093;0.1698;0.2658;0.334
0.953000;-0.9824;-0.8900;0.5681;1.442
0.957000;-0.3675;-0.9642;0.0840;1.035
0.961000;-0.4402;-0.3967;-0.4886;0.768
0.971000;-0.5997;0.0734;-0.8679;1.057
0.981000;0.0031;0.4880;-0.6840;0.840
0.993000;0.4611;0.5978;0.1617;0.772
1.001000;0.5730;0.4926;0.8523;1.139
1.018000;0.5204;0.3380;1.1496;1.306
1.027000;0.1314;0.2025;1.1227;1.148
1.030000;-0.3748;0.1226;0.5327;0.663
1.041000;-0.6760;0.0915;-0.3198;0.753
1.050000;-0.7259;0.0870;-0.6942;1.008
1.060000;-0.6433;0.0816;-0.5223;0.833
1.071000;-0.4931;0.0912;-0.0492;0.504
1.081000;-0.4293;0.0758;0.6628;0.793
1.093000;-0.3065;0.0243;0.9092;0.960
1.101000;-0.2482;0.0001;0.6680;0.713
1.123000;-0.4539;-0.1002;0.4606;0.654
1.124000;-0.5895;-0.0705;0.3733;0.701
1.131000;-0.4239;0.1374;0.4298;0.619
1.141000;0.0299;0.5477;0.7482;0.928
1.151000;-0.1973;0.4161;-0.1943;0.500
1.161000;-0.2606;0.3937;0.5981;0.762
1.173000;0.0116;0.3706;0.9905;1.058
1.181000;-0.2442;-0.0244;0.5156;0.571
1.191000;-0.6049;-0.4036;0.7005;1.010
1.201000;-0.5581;-0.6450;0.7744;1.152
1.212000;-0.2624;-0.5770;0.5637;0.848
1.235000;-0.0037;-0.3523;0.3282;0.482
1.238000;0.1105;-0.1000;0.0871;0.173
1.244000;0.1366;0.0221;-0.0737;0.157
1.251000;-0.0634;0.0309;-0.0104;0.071
1.261000;-0.3246;-0.0685;0.1443;0.362
1.271000;-0.3989;-0.1657;0.1842;0.470
1.280000;-0.2703;-0.2081;0.1975;0.394
1.293000;-0.1063;-0.1898;0.3253;0.391
1.301000;0.1228;-0.1506;0.3707;0.418
1.315000;0.1916;-0.2531;0.1404;0.347
1.321000;0.0325;-0.3701;-0.0660;0.377
1.331000;-0.1914;-0.3658;-0.1531;0.440
1.341000;-0.3352;-0.3479;-0.2096;0.527
1.350000;-0.3163;-0.2473;-0.2485;0.472
1.361000;-0.2505;-0.0894;-0.4234;0.500
1.371000;-0.1662;0.0316;-0.4778;0.507
1.381000;-0.0864;0.0662;-0.4013;0.416
1.393000;-0.0725;-0.0102;-0.2700;0.280
1.402000;-0.1495;-0.1493;-0.0823;0.227
1.421000;-0.1621;-0.1928;-0.0209;0.253
1.425000;-0.0715;-0.0893;-0.1087;0.158
1.430000;0.0317;0.0279;-0.0926;0.102
1.441000;0.1167;0.0914;-0.0035;0.148
1.450000;0.1592;0.1231;0.0982;0.224
1.461000;0.1169;0.1589;0.0707;0.210
1.471000;-0.0357;0.0821;0.1708;0.193
1.482000;-0.1007;0.0161;0.3452;0.360
1.497000;-0.0643;0.0502;0.4511;0.458
1.502000;0.0247;0.0818;0.5946;0.601
1.531000;0.1056;0.2006;0.5461;0.591
1.533000;0.1146;0.1797;0.4840;0.529
1.535000;0.0900;0.1306;0.4077;0.438
1.543000;-0.0378;0.0458;0.2295;0.237
1.551000;-0.2296;-0.0445;0.0486;0.239
1.561000;-0.3786;-0.0570;0.0335;0.384
1.571000;-0.3994;-0.0457;0.0992;0.414
1.582000;-0.2643;0.0516;0.2278;0.353
1.596000;-0.0981;0.1676;0.3548;0.404
1.627000;0.0606;0.2418;0.4487;0.513
1.629000;0.1490;0.2384;0.3348;0.437
1.629000;0.1159;0.1888;0.0850;0.237
1.631000;0.0091;0.1265;-0.0643;0.142
1.641000;-0.1114;0.0721;-0.2078;0.247
1.651000;-0.2376;-0.0049;-0.2307;0.331
1.661000;-0.2445;-0.0273;-0.1578;0.292
1.671000;-0.1380;-0.0313;-0.0890;0.167
1.681000;0.0356;0.0232;0.0500;0.066
1.697000;0.1845;0.0995;0.1077;0.236
1.702000;0.1969;0.1384;-0.0121;0.241
1.725000;0.0719;0.1230;-0.0867;0.167
1.726000;0.0343;0.0532;0.0463;0.078
1.731000;0.0705;0.0270;0.1799;0.195
1.741000;0.0751;0.0638;0.2718;0.289
1.751000;0.0822;0.2116;0.2250;0.320
1.761000;0.1235;0.4051;0.0582;0.427
1.771000;0.2290;0.5699;-0.0770;0.619
1.781000;0.3279;0.6180;-0.2284;0.736
1.794000;0.3015;0.5798;-0.2037;0.684
1.801000;0.2532;0.4813;-0.1800;0.573
1.825000;0.2049;0.3834;-0.1775;0.470
1.827000;0.3996;0.4113;-0.1377;0.590
1.831000;0.1015;0.2593;0.3311;0.433
1.841000;-0.1618;-0.0844;0.5494;0.579
1.851000;-0.2250;-0.1167;0.5556;0.611
1.861000;-0.1849;-0.1064;0.3980;0.452
1.871000;-0.0827;-0.0869;0.1728;0.210
1.881000;-0.0487;-0.0623;0.0521;0.095
1.895000;-0.0161;-0.0283;0.0609;0.069
1.900000;-0.0011;-0.0294;0.1428;0.146
