time;ax;ay;az;aT
0.004000;0.1691;-0.1808;-0.1992;0.318
0.005000;0.2877;-0.3043;-0.4625;0.624
0.006000;0.3933;-0.2605;-0.3962;0.616
0.006000;0.3852;-0.2337;-0.1125;0.464
0.012000;0.1772;-0.1953;0.1993;0.331
0.017000;0.1667;-0.0890;0.6219;0.650
0.023000;0.0821;-0.0628;1.1235;1.128
0.026000;0.0359;-0.1355;1.3572;1.364
0.032000;0.0298;-0.2419;1.4204;1.441
0.037000;0.1682;-0.3216;1.2648;1.316
0.041000;0.2924;-0.3719;0.9351;1.048
0.046000;0.3830;-0.3048;0.5632;0.746
0.051000;0.4318;-0.1237;0.1425;0.471
0.056000;0.3645;0.1020;-0.1939;0.425
0.061000;0.2279;0.2583;-0.4894;0.598
0.065000;-0.0218;0.3220;-0.5215;0.613
0.072000;-0.2028;0.3338;-0.2543;0.466
0.075000;-0.2683;0.3337;0.0913;0.438
0.080000;-0.2721;0.2755;0.4009;0.557
0.086000;-0.2100;0.1781;0.6393;0.696
0.090000;-0.1399;0.0533;0.7028;0.719
0.095000;-0.0811;-0.0464;0.6923;0.699
0.100000;-0.0597;-0.0709;0.7177;0.724
0.105000;0.0219;-0.0566;0.6743;0.677
0.110000;0.0685;-0.0035;0.6361;0.640
0.115000;0.0681;0.0428;0.5201;0.526
0.120000;0.0044;0.0760;0.3529;0.361
0.124000;-0.0679;0.1179;0.2155;0.255
0.130000;-0.1534;0.1686;0.1576;0.277
0.134000;-0.2287;0.2071;0.0504;0.313
0.141000;-0.2866;0.2028;0.0579;0.356
0.144000;-0.2802;0.2131;0.0488;0.355
0.149000;-0.2575;0.2261;0.0515;0.347
0.154000;-0.2308;0.2297;0.0068;0.326
0.158000;-0.1762;0.2169;-0.0591;0.286
0.164000;-0.1009;0.1832;-0.1220;0.242
0.170000;-0.0570;0.1384;-0.1941;0.245
0.173000;0.0390;0.1208;-0.2420;0.273
0.178000;0.1467;0.0824;-0.2681;0.317
0.183000;0.2279;0.0664;-0.2656;0.356
