time;ax;ay;az;aT
0.003000;-0.4763;0.0731;-0.3743;0.610
0.004000;-0.6647;0.1713;-0.3472;0.769
0.007000;-0.8297;0.2020;-0.2753;0.897
0.011000;-0.8991;0.2493;-0.0498;0.934
0.016000;-0.9601;0.2722;0.2211;1.022
0.024000;-0.8927;0.2513;0.4779;1.043
0.025000;-0.7365;0.2003;0.7277;1.055
0.031000;-0.4974;0.1044;0.8426;0.984
0.035000;-0.2667;0.0202;0.8664;0.907
0.040000;-0.0586;-0.0976;0.7833;0.792
0.045000;0.1649;-0.1888;0.6557;0.702
0.050000;0.3469;-0.2423;0.5174;0.668
0.057000;0.5187;-0.2460;0.3873;0.693
0.060000;0.6430;-0.2238;0.2583;0.728
0.065000;0.7040;-0.1832;0.1185;0.737
0.071000;0.6859;-0.1409;0.0249;0.701
0.075000;0.6272;-0.0350;-0.0870;0.634
0.080000;0.5386;0.0345;-0.1813;0.569
0.085000;0.4680;0.1509;-0.2583;0.555
0.090000;0.3915;0.2214;-0.3181;0.551
0.095000;0.3687;0.2584;-0.3157;0.550
0.099000;0.2994;0.2978;-0.3370;0.540
0.104000;0.2932;0.2948;-0.2514;0.486
0.110000;0.2973;0.2687;-0.1830;0.441
0.114000;0.3660;0.2620;-0.0795;0.457
0.119000;0.4319;0.2126;0.0280;0.482
0.124000;0.4499;0.1612;0.0635;0.482
0.132000;0.5057;0.1124;0.1224;0.532
0.134000;0.5636;0.0589;0.1405;0.584
0.139000;0.5617;0.0434;0.1633;0.587
0.144000;0.5531;-0.0031;0.2144;0.593
0.151000;0.5402;-0.0425;0.2461;0.595
0.162000;0.5017;-0.0630;0.2729;0.575
0.163000;0.4427;-0.1098;0.3019;0.547
0.163000;0.3655;-0.1162;0.3664;0.530
0.171000;0.2751;-0.1204;0.3995;0.500
0.175000;0.2024;-0.0915;0.4396;0.492
0.180000;0.0972;-0.1059;0.4984;0.519
0.184000;0.0044;-0.1088;0.5354;0.546
0.188000;-0.0477;-0.0904;0.5319;0.542
0.193000;-0.1233;-0.0726;0.5449;0.563
0.198000;-0.1703;-0.0625;0.5176;0.548
0.202000;-0.1675;-0.0384;0.4880;0.517
0.207000;-0.1629;-0.0311;0.4254;0.457
0.212000;-0.1800;-0.0408;0.3846;0.427
0.217000;-0.1709;-0.0480;0.3464;0.389
0.222000;-0.1975;-0.0597;0.3323;0.391
0.231000;-0.2048;-0.0714;0.3420;0.405
0.232000;-0.2047;-0.0473;0.3209;0.384
0.238000;-0.2045;-0.0259;0.3307;0.390
0.242000;-0.2613;-0.0333;0.3429;0.432
0.246000;-0.2605;-0.0314;0.3598;0.445
0.252000;-0.2953;-0.0253;0.3219;0.438
0.256000;-0.2608;-0.0056;0.3104;0.405
0.262000;-0.2599;-0.0031;0.2610;0.368
0.266000;-0.2471;-0.0344;0.1857;0.311
0.273000;-0.1888;-0.0090;0.0942;0.211
0.276000;-0.1473;-0.0031;0.0104;0.148
0.281000;-0.1175;-0.0071;-0.1015;0.155
0.286000;-0.0948;0.0172;-0.1365;0.167
0.291000;-0.0745;0.0247;-0.0739;0.108
0.295000;-0.0922;0.0610;-0.2423;0.266
0.301000;-0.0765;0.0947;-0.2361;0.266
0.305000;-0.0682;0.1216;-0.2989;0.330
0.311000;-0.0530;0.1530;-0.3637;0.398
0.315000;-0.0549;0.1539;-0.3854;0.419
0.320000;-0.0453;0.1813;-0.4307;0.470
0.325000;-0.0217;0.1951;-0.4640;0.504
0.330000;0.0016;0.2022;-0.4542;0.497
0.334000;0.0224;0.2003;-0.4230;0.469
0.340000;0.0528;0.1750;-0.4254;0.463
0.345000;0.0711;0.1455;-0.3825;0.415
0.350000;0.0799;0.1401;-0.3661;0.400
0.356000;0.0936;0.1445;-0.3331;0.375
0.361000;0.0548;0.1346;-0.3455;0.375
0.364000;0.0142;0.0799;-0.3127;0.323
0.369000;0.0216;0.0780;-0.2729;0.285
0.375000;0.0220;0.0523;-0.2214;0.229
0.379000;0.0247;0.0436;-0.2035;0.210
0.384000;0.0321;0.0040;-0.1833;0.186
0.389000;0.0584;-0.0379;-0.1608;0.175
0.394000;0.0963;-0.0702;-0.1576;0.198
0.399000;0.1293;-0.0831;-0.1496;0.214
0.404000;0.1569;-0.0887;-0.1678;0.246
0.412000;0.1509;-0.0797;-0.1740;0.244
0.413000;0.1638;-0.0944;-0.1564;0.245
0.418000;0.1336;-0.0994;-0.1698;0.238
0.423000;0.1036;-0.0925;-0.1642;0.215
0.429000;0.0712;-0.0661;-0.1205;0.155
0.432000;0.0484;-0.0279;-0.1270;0.139
0.438000;0.0377;-0.0181;-0.0930;0.102
0.442000;0.0221;-0.0392;-0.0568;0.072
0.447000;0.0232;-0.0578;-0.0541;0.082
0.452000;-0.0283;-0.0120;-0.0371;0.048
0.458000;-0.0463;-0.0236;-0.0560;0.076
0.462000;-0.0833;-0.0041;-0.0557;0.100
0.467000;-0.1274;0.0202;-0.0911;0.158
0.473000;-0.1235;0.0161;-0.0907;0.154
0.477000;-0.1104;-0.0187;-0.0474;0.122
0.481000;-0.0615;-0.0341;-0.0257;0.075
0.489000;-0.0581;-0.0371;0.0125;0.070
0.491000;-0.0285;-0.0612;0.0551;0.087
0.496000;0.0127;-0.0851;0.0831;0.120
0.502000;0.0487;-0.0803;0.1038;0.140
0.507000;0.0839;-0.0829;0.1575;0.197
0.512000;0.1089;-0.0998;0.1491;0.210
0.516000;0.0977;-0.0861;0.1549;0.202
0.522000;0.1241;-0.0372;0.1227;0.178
0.526000;0.1072;-0.0529;0.0600;0.134
0.530000;0.0733;0.0073;0.0452;0.086
0.536000;0.0418;0.0124;0.0163;0.047
0.541000;-0.0060;0.0508;0.0232;0.056
0.546000;-0.0132;0.0724;0.0301;0.080
0.550000;-0.0510;0.1226;0.0369;0.138
0.557000;-0.0599;0.1675;0.0461;0.184
0.562000;-0.0901;0.1574;0.0717;0.195
0.565000;-0.1150;0.1685;0.0829;0.220
0.572000;-0.1231;0.1510;0.1083;0.223
0.575000;-0.1191;0.1526;0.1359;0.236
0.580000;-0.0962;0.1400;0.1798;0.247
0.585000;-0.0736;0.1250;0.2162;0.260
0.590000;-0.0254;0.1314;0.2523;0.286
0.595000;0.0270;0.0782;0.3119;0.323
0.599000;0.0479;0.0417;0.3092;0.316
0.606000;0.1113;0.0078;0.3161;0.335
0.611000;0.1147;0.0000;0.3134;0.334
0.614000;0.1156;-0.0482;0.3179;0.342
0.619000;0.1119;-0.0654;0.3318;0.356
0.624000;0.1012;-0.0615;0.3408;0.361
0.629000;0.0625;-0.0606;0.3285;0.340
0.634000;0.0103;-0.0742;0.3424;0.350
0.639000;-0.0291;-0.0551;0.2968;0.303
