time;ax;ay;az;aT
0.003000;-0.0317;0.1709;-0.1634;0.239
0.003000;0.0989;0.1063;-0.1984;0.246
0.003000;0.2076;0.0369;-0.1014;0.234
0.007000;0.2460;0.0443;0.0578;0.257
0.013000;0.2127;0.0630;0.2198;0.312
0.017000;0.1958;0.0780;0.3355;0.396
0.024000;0.1828;0.1054;0.3987;0.451
0.028000;0.2108;0.1140;0.4527;0.512
0.032000;0.2108;0.0500;0.4739;0.521
0.037000;0.2470;-0.0407;0.4792;0.541
0.042000;0.2315;-0.1149;0.4568;0.525
0.047000;0.1910;-0.1801;0.4356;0.509
0.052000;0.1729;-0.2244;0.3516;0.452
0.057000;0.1532;-0.2406;0.1770;0.336
0.062000;0.1222;-0.2169;0.0616;0.256
0.067000;0.1439;-0.1820;-0.0169;0.233
0.074000;0.1181;-0.1688;-0.0021;0.206
0.076000;0.1048;-0.1394;-0.0064;0.175
0.081000;0.0566;-0.1294;0.0012;0.141
0.086000;0.0163;-0.1057;-0.0052;0.107
0.091000;-0.0109;-0.0804;-0.0538;0.097
0.096000;-0.0276;-0.0487;-0.0544;0.078
0.100000;-0.0577;-0.0246;-0.0951;0.114
0.106000;-0.0870;-0.0082;-0.1091;0.140
0.110000;-0.1650;-0.0156;-0.0828;0.185
0.115000;-0.2538;-0.0064;-0.0780;0.266
0.120000;-0.2682;0.0262;-0.0259;0.271
0.125000;-0.3109;0.0276;-0.0524;0.317
0.131000;-0.3132;0.0195;-0.0857;0.325
0.135000;-0.2877;0.0420;-0.1281;0.318
0.140000;-0.2513;0.0268;-0.1821;0.311
0.145000;-0.2183;0.0263;-0.2499;0.333
0.151000;-0.2190;0.0191;-0.2676;0.346
0.168000;-0.1967;0.0055;-0.2594;0.326
0.169000;-0.2224;-0.0026;-0.2184;0.312
0.170000;-0.2224;-0.0384;-0.1001;0.247
0.171000;-0.2376;-0.0569;-0.0021;0.244
0.176000;-0.2109;-0.0895;0.0807;0.243
0.180000;-0.2113;-0.1004;0.1082;0.258
0.184000;-0.1934;-0.0781;0.1023;0.232
0.189000;-0.1810;-0.0752;0.1581;0.252
0.194000;-0.1260;-0.1177;0.0121;0.173
0.198000;-0.1377;-0.1599;-0.0377;0.214
0.203000;-0.1512;-0.1780;-0.0396;0.237
0.208000;-0.1619;-0.1816;0.0487;0.248
0.213000;-0.1510;-0.1805;0.1243;0.266
0.218000;-0.1618;-0.1630;0.2111;0.312
0.223000;-0.1372;-0.1814;0.2072;0.308
0.228000;-0.1275;-0.1668;0.1347;0.249
0.233000;-0.1229;-0.2143;0.1222;0.276
0.239000;-0.0687;-0.2093;0.0530;0.227
0.243000;-0.0433;-0.1902;-0.0061;0.195
0.248000;-0.0113;-0.1855;-0.0457;0.191
0.253000;0.0466;-0.1784;-0.0732;0.198
0.258000;0.0639;-0.1833;-0.1288;0.233
0.262000;0.0745;-0.2071;-0.1888;0.290
0.267000;0.0428;-0.2116;-0.2270;0.313
0.275000;0.0166;-0.2444;-0.2221;0.331
0.277000;0.0815;-0.2531;-0.2507;0.365
0.282000;0.1107;-0.2522;-0.2956;0.404
0.288000;0.1024;-0.2464;-0.2998;0.401
0.294000;0.0711;-0.2429;-0.2590;0.362
0.297000;0.0787;-0.2395;-0.1876;0.314
0.302000;0.0725;-0.2506;-0.0953;0.278
0.307000;0.0386;-0.2359;-0.0724;0.250
0.312000;0.0482;-0.2601;-0.0468;0.269
0.317000;0.0392;-0.2868;-0.0617;0.296
0.323000;0.0308;-0.3065;-0.0526;0.313
0.327000;0.0156;-0.3001;-0.0268;0.302
0.331000;-0.0159;-0.2891;-0.0321;0.291
0.336000;-0.0518;-0.2614;-0.0469;0.271
0.341000;-0.0761;-0.2243;-0.0094;0.237
0.346000;-0.0652;-0.2111;0.0302;0.223
0.351000;-0.0695;-0.1669;0.0479;0.187
0.356000;-0.0629;-0.1490;0.0416;0.167
0.362000;-0.0690;-0.1405;0.0400;0.162
0.366000;-0.0852;-0.1439;0.0146;0.168
0.383000;-0.1112;-0.1018;-0.0155;0.152
0.383000;-0.1515;-0.0980;0.0116;0.181
0.383000;-0.1347;-0.0680;-0.0043;0.151
0.385000;-0.1085;-0.0192;-0.0177;0.112
0.391000;-0.0775;-0.0252;-0.0500;0.096
0.395000;-0.0634;-0.0073;-0.0916;0.112
0.400000;-0.0353;-0.0179;-0.0974;0.105
0.406000;-0.0215;-0.0423;-0.0937;0.105
0.410000;-0.0268;-0.0426;-0.0616;0.080
0.415000;-0.0133;-0.0214;-0.0465;0.053
0.420000;-0.0287;-0.0288;-0.0767;0.087
0.424000;-0.0181;-0.0332;-0.1686;0.173
0.429000;0.0066;-0.0607;-0.4426;0.447
0.434000;0.0192;-0.0966;-0.2758;0.293
0.440000;0.0505;-0.1597;-0.1773;0.244
0.444000;0.0482;-0.1694;-0.2673;0.320
0.449000;0.0032;-0.1429;-0.1266;0.191
0.454000;0.0013;-0.1306;-0.0276;0.133
0.459000;-0.0123;-0.1494;0.0328;0.153
0.464000;-0.0043;-0.1449;0.0573;0.156
0.469000;0.0039;-0.1432;0.0320;0.147
0.475000;0.0024;-0.1205;-0.0024;0.121
0.478000;-0.0298;-0.0701;-0.0458;0.089
0.483000;-0.0548;-0.0535;-0.0365;0.085
0.488000;-0.0892;-0.0064;-0.0747;0.116
0.493000;-0.1186;-0.0119;-0.1054;0.159
0.498000;-0.0981;0.0135;-0.1335;0.166
0.503000;-0.0756;0.0437;-0.1472;0.171
0.515000;-0.0436;0.0666;-0.1348;0.157
0.516000;-0.0474;0.0801;-0.1439;0.171
0.517000;-0.0293;0.1006;-0.1173;0.157
0.523000;-0.0347;0.1118;-0.0484;0.127
0.528000;-0.0132;0.1135;-0.0394;0.121
0.532000;0.0347;0.1059;-0.0234;0.114
0.538000;0.0211;0.0888;0.0898;0.128
0.543000;0.0154;0.0955;0.1760;0.201
0.548000;-0.0134;0.0570;0.2544;0.261
0.552000;-0.0322;0.0471;0.4367;0.440
0.557000;0.0115;0.0631;0.4776;0.482
0.562000;0.0978;0.0475;0.3760;0.391
0.567000;0.0262;0.0818;0.3821;0.392
0.574000;-0.0387;0.0493;0.4166;0.421
0.577000;-0.0589;0.0528;0.4284;0.436
0.581000;-0.0031;0.0632;0.4045;0.409
0.586000;0.0099;0.0709;0.3642;0.371
0.592000;0.0185;0.0947;0.3387;0.352
0.596000;0.0444;0.1349;0.2943;0.327
0.601000;0.0730;0.1530;0.1933;0.257
0.606000;0.1039;0.1635;0.0667;0.205
0.611000;0.1231;0.1668;-0.0520;0.214
0.615000;0.1210;0.2010;-0.2272;0.327
0.620000;0.1195;0.2213;-0.3755;0.452
0.626000;0.1426;0.2757;-0.5496;0.631
0.630000;0.1166;0.3357;-0.6852;0.772
0.635000;0.1367;0.3849;-0.7374;0.843
0.640000;0.1667;0.4138;-0.7137;0.842
0.645000;0.2115;0.3652;-0.6168;0.747
0.650000;0.2204;0.2367;-0.3493;0.476
0.655000;1.0062;-0.0635;4.1267;4.248
0.660000;-0.0775;-0.2126;3.0787;3.087
0.665000;-0.0791;-0.4503;1.8154;1.872
0.670000;0.3989;-0.5809;1.1123;1.317
0.675000;0.6302;-0.5020;0.4011;0.900
0.681000;0.5253;-0.2431;-0.0620;0.582
0.684000;0.3622;-0.0088;-0.2002;0.414
0.690000;0.2165;0.1460;-0.0365;0.264
0.695000;0.0641;0.1925;0.1256;0.239
0.699000;0.1260;0.1711;0.3625;0.420
0.704000;0.2446;0.1434;0.7052;0.760
0.709000;0.0401;0.0895;0.9059;0.911
0.713000;-0.1457;0.0230;0.9489;0.960
0.719000;-0.0936;-0.0116;0.8736;0.879
0.724000;0.0670;-0.0905;0.8472;0.855
0.729000;0.0448;-0.2116;0.5838;0.623
0.733000;0.1111;-0.2961;0.1297;0.342
0.738000;0.3934;-0.2671;-0.1716;0.506
0.743000;0.9314;-0.2530;-0.0759;0.968
0.748000;1.1982;-0.1933;-0.3117;1.253
0.752000;0.9993;-0.1131;-0.7542;1.257
0.758000;0.2431;-0.0190;-1.4812;1.501
0.762000;-0.1659;0.0814;-1.5935;1.604
0.767000;-0.4246;0.1180;-1.3699;1.439
0.772000;-0.5223;0.1304;-1.1353;1.256
0.777000;-0.5775;0.1351;-1.1258;1.272
0.782000;-0.5339;0.0820;-1.2642;1.375
0.787000;-0.5297;0.0289;-1.4977;1.589
0.792000;-0.6544;-0.0216;-1.4971;1.634
0.797000;-0.7145;-0.0809;-1.4160;1.588
0.802000;-0.7910;-0.0461;-1.2573;1.486
0.807000;-0.9139;-0.0025;-1.0356;1.381
0.813000;-1.0678;0.1690;-0.8348;1.366
0.816000;-1.1771;0.3495;-0.7192;1.423
0.821000;-1.2102;0.3484;-0.5312;1.367
0.826000;-1.1563;0.2172;-0.5859;1.314
0.831000;-0.9654;0.0544;-0.4392;1.062
0.836000;-0.7300;-0.1543;-0.2205;0.778
0.841000;-0.5740;-0.3686;-0.0443;0.684
0.846000;-0.5022;-0.5362;0.0800;0.739
0.850000;-0.2685;-0.6388;0.2150;0.726
0.855000;0.1502;-0.7412;0.2845;0.808
0.861000;0.4208;-0.7773;0.3843;0.964
0.866000;0.5617;-0.7241;0.4524;1.022
0.870000;0.5695;-0.4878;0.3846;0.843
0.877000;0.2719;0.0474;-0.0187;0.277
0.880000;0.0659;0.1854;-0.0267;0.199
0.885000;0.2404;-0.0098;-0.0508;0.246
0.894000;1.0688;-0.4936;-0.2364;1.201
0.895000;2.2002;-1.1892;-0.0755;2.502
0.900000;1.4849;-1.0395;-0.4278;1.862
0.905000;0.7666;-0.6811;-0.4768;1.131
0.910000;0.2203;-0.1778;-0.3546;0.454
0.915000;-0.1663;0.2307;-0.4214;0.508
0.919000;-0.6383;0.4726;-0.7116;1.066
0.924000;-0.8600;0.5205;-0.6575;1.201
0.929000;-0.6617;0.3768;-0.0764;0.765
0.934000;-0.3965;0.2282;0.6244;0.774
0.939000;-0.1860;0.1742;0.7320;0.775
0.943000;-0.1348;0.1748;0.8180;0.847
0.949000;0.0108;0.1560;1.1991;1.209
0.954000;0.0736;-0.2599;1.3859;1.412
