time;ax;ay;az;aT
0.003000;0.0047;-0.4196;-0.5359;0.681
0.004000;0.0016;-0.1421;-0.2049;0.249
0.013000;-0.0001;0.0215;0.0350;0.041
0.024000;-0.0073;0.1303;0.2298;0.264
0.034000;-0.0181;0.2602;0.4751;0.542
0.043000;-0.0161;0.3475;0.6402;0.729
0.053000;-0.0053;0.3835;0.7022;0.800
0.063000;-0.0015;0.3217;0.5757;0.659
0.073000;-0.0051;0.2402;0.4147;0.479
0.083000;-0.0028;0.1365;0.2240;0.262
0.094000;0.0000;-0.0022;-0.0035;0.004
0.103000;0.0005;-0.0984;-0.1469;0.177
0.114000;0.0001;-0.1035;-0.1547;0.186
0.124000;0.0001;-0.0783;-0.1212;0.144
0.133000;0.0002;-0.0399;-0.0632;0.075
0.143000;-0.0001;0.0051;0.0083;0.010
0.153000;-0.0003;0.0320;0.0523;0.061
0.164000;-0.0001;0.0582;0.0955;0.112
0.174000;0.0002;0.0437;0.0721;0.084
0.183000;-0.0140;0.1722;0.2974;0.344
0.193000;-0.0707;0.5030;0.9485;1.076
0.203000;-0.0504;0.5790;1.0917;1.237
0.214000;-0.0146;0.3776;0.6639;0.764
0.224000;0.0020;0.2183;0.3612;0.422
0.233000;0.0008;0.0823;0.1342;0.157
0.243000;0.0002;-0.0191;-0.0305;0.036
0.253000;0.0023;-0.0826;-0.1312;0.155
0.263000;0.0036;-0.0992;-0.1587;0.187
0.274000;0.0028;-0.0889;-0.1452;0.170
0.284000;0.0015;-0.1027;-0.1693;0.198
0.293000;-0.0009;-0.1304;-0.2138;0.250
0.303000;-0.0035;-0.1398;-0.2280;0.267
0.315000;-0.0042;-0.1433;-0.2363;0.276
0.323000;-0.0669;-0.2155;-0.2228;0.317
0.333000;-0.1279;-0.2850;-0.2083;0.375
0.343000;-0.1409;-0.3138;-0.1974;0.397
0.353000;-0.1062;-0.2958;-0.1533;0.350
0.364000;-0.1430;-0.2773;-0.2051;0.373
0.373000;-0.2392;-0.2830;-0.3881;0.537
0.383000;-0.4043;-0.3027;-0.5326;0.734
0.393000;-0.5775;-0.2890;-0.5192;0.829
0.403000;-0.6422;-0.2593;-0.5392;0.878
0.414000;-0.6009;-0.2463;-0.4798;0.807
0.424000;-0.5497;-0.2074;-0.3769;0.698
0.433000;-0.5170;-0.0839;-0.1731;0.552
0.443000;-0.2831;-0.0314;-0.1925;0.344
0.453000;0.0953;0.1048;-0.2262;0.267
0.463000;0.0536;0.3054;0.0768;0.319
0.474000;-0.0693;0.2689;-0.1084;0.298
0.483000;-0.0822;0.1331;-0.4074;0.436
0.493000;-0.1073;0.2455;-0.1256;0.296
0.503000;0.0836;0.4060;0.0836;0.423
0.514000;0.4329;0.3517;-0.3602;0.664
0.525000;0.7849;0.2463;-0.7419;1.108
0.533000;0.9772;0.1004;-0.6745;1.192
0.543000;0.9500;-0.0711;-0.2336;0.981
0.553000;0.8118;-0.3423;0.3477;0.947
0.563000;0.7000;-0.5658;0.6979;1.139
0.574000;0.2712;-0.4626;0.7788;0.946
0.583000;0.6658;-0.4476;0.5232;0.958
0.594000;0.5336;0.1309;1.2304;1.348
0.604000;-0.1343;0.8115;0.6784;1.066
0.614000;-1.0750;0.9610;0.1074;1.446
0.624000;-1.4683;0.3897;0.9812;1.808
0.634000;-0.8737;-0.2145;2.2182;2.394
0.644000;-0.1055;-0.0143;2.4575;2.460
0.653000;0.4308;0.1672;3.4581;3.489
0.663000;1.1467;0.2011;4.4756;4.625
0.675000;1.6072;0.0187;3.0028;3.406
0.683000;1.3722;-0.4490;1.3612;1.984
0.694000;0.6358;-1.1745;0.8904;1.605
0.704000;-0.3686;-0.4156;-0.0832;0.562
0.715000;-1.4867;0.5747;-0.0630;1.595
0.729000;-1.8235;1.2787;-0.4353;2.269
0.733000;-0.8021;1.3699;-1.1370;1.953
0.744000;-0.5942;0.9085;-1.1805;1.604
0.753000;-0.2772;0.5519;-0.3719;0.721
0.763000;-0.4039;0.1240;-0.2371;0.484
0.776000;-0.4493;-0.0504;-1.0904;1.180
0.783000;-0.3931;0.0864;-1.4343;1.490
0.794000;-0.4763;0.1489;-1.4795;1.561
0.803000;-0.7820;0.0430;-1.3175;1.533
0.818000;-1.0652;-0.0937;-1.0751;1.516
0.825000;-1.0212;-0.1030;-0.8349;1.323
0.833000;-0.7300;-0.1136;-0.4691;0.875
0.843000;-0.4366;-0.2359;-0.2487;0.555
0.853000;-0.3233;-0.3478;-0.1105;0.487
0.863000;-0.2687;-0.3686;0.1339;0.475
0.875000;-0.1124;-0.3008;0.2017;0.379
0.883000;-0.1299;-0.3152;0.1163;0.360
0.894000;-0.1842;-0.4005;0.0731;0.447
0.903000;-0.4227;-0.4480;0.0362;0.617
0.914000;-0.5332;-0.4417;-0.2012;0.721
0.925000;-0.5700;-0.4259;-0.5375;0.892
0.934000;-0.6236;-0.4785;-0.5813;0.978
0.943000;-0.6511;-0.4789;-0.4631;0.932
0.953000;-0.7383;-0.3497;-0.3362;0.883
0.964000;-0.8459;-0.2424;-0.1998;0.902
0.975000;-0.7448;-0.1635;-0.1057;0.770
0.983000;-0.6324;-0.0897;-0.0762;0.643
0.993000;-0.7182;-0.0064;0.0429;0.720
1.003000;-0.8039;-0.0909;0.3358;0.876
1.015000;-0.6876;-0.2570;0.5350;0.908
1.025000;-0.3074;-0.3553;0.4035;0.619
1.033000;0.1232;-0.4045;0.0714;0.429
1.043000;0.2693;-0.3386;-0.1703;0.465
1.053000;0.1210;-0.1303;-0.2193;0.282
1.063000;-0.1963;0.1330;-0.0689;0.247
1.075000;-0.5750;0.2998;0.1110;0.658
1.083000;-0.7015;0.4154;0.5777;0.999
1.094000;-0.5171;0.4666;0.9628;1.188
1.104000;-0.0476;0.4260;0.8954;0.993
1.114000;0.0386;0.3558;0.8147;0.890
1.132000;0.0120;0.2876;0.6449;0.706
1.135000;-0.0539;0.2252;0.3681;0.435
1.145000;-0.2291;0.1492;0.5174;0.585
1.153000;-0.0111;0.3335;0.5742;0.664
1.163000;0.1582;0.4174;0.2866;0.530
1.176000;0.1735;0.3493;0.1605;0.422
1.183000;0.1951;0.1581;-0.1419;0.288
1.193000;0.1565;-0.6362;1.8025;1.918
1.203000;0.9048;-0.4214;0.1167;1.005
1.213000;1.0046;0.3610;0.8818;1.385
