time;ax;ay;az;aT
0.003000;-0.4361;0.2794;0.0137;0.518
0.003000;-0.4086;0.1832;-0.5402;0.702
0.011000;-0.2280;0.0960;-0.6457;0.692
0.020000;-0.0183;0.2464;-0.5790;0.629
0.030000;0.2185;0.5691;-0.4107;0.735
0.041000;0.4440;0.7956;-0.2710;0.951
0.050000;0.4949;0.8745;-0.2059;1.026
0.060000;0.3244;0.8271;-0.1994;0.911
0.071000;0.0656;0.7318;-0.2954;0.792
0.081000;-0.1701;0.6406;-0.4482;0.800
0.090000;-0.2960;0.5457;-0.5281;0.815
0.100000;-0.3388;0.5137;-0.5707;0.839
0.110000;-0.3437;0.5111;-0.4481;0.762
0.121000;-0.2966;0.5131;-0.1894;0.622
0.130000;-0.2095;0.4878;0.0236;0.531
0.140000;-0.1447;0.4758;0.1340;0.515
0.150000;-0.1391;0.4525;0.2320;0.527
0.163000;-0.1281;0.4286;0.3145;0.547
0.171000;-0.1347;0.4226;0.3726;0.579
0.181000;-0.1541;0.4268;0.3823;0.593
0.190000;-0.1610;0.3888;0.3045;0.519
0.200000;-0.1688;0.4032;0.1911;0.477
0.211000;-0.1419;0.4609;0.1112;0.495
0.222000;-0.1192;0.5155;0.1004;0.539
0.230000;-0.1316;0.5779;0.1100;0.603
0.240000;-0.1148;0.6390;0.1126;0.659
0.250000;-0.1188;0.6607;0.0840;0.677
0.262000;-0.1809;0.5511;0.0529;0.582
0.271000;-0.2256;0.5408;-0.0452;0.588
0.281000;-0.3370;0.4724;-0.0830;0.586
0.293000;-0.3142;0.3735;-0.1234;0.503
0.300000;-0.3338;0.3528;-0.1013;0.496
0.310000;-0.3039;0.3119;0.1149;0.450
0.322000;-0.2102;0.1939;0.1120;0.307
0.331000;-0.2136;0.2745;0.0146;0.348
0.340000;-0.2683;0.4334;0.1952;0.546
0.350000;-0.1753;0.4917;-0.0056;0.522
0.360000;-0.0248;0.5473;-0.2125;0.588
0.371000;0.0250;0.5581;-0.2595;0.616
0.380000;0.0232;0.4970;-0.2598;0.561
0.390000;0.0034;0.4264;-0.1683;0.458
0.400000;-0.0233;0.3435;-0.0490;0.348
0.410000;-0.0499;0.2582;0.1177;0.288
0.421000;-0.0440;0.1866;0.3142;0.368
0.430000;0.0134;0.1382;0.4547;0.475
0.440000;0.0202;0.1772;0.5442;0.573
0.450000;-0.0009;0.2877;0.4427;0.528
0.461000;-0.0037;0.3935;0.2628;0.473
0.471000;0.0591;0.4071;0.1879;0.452
0.480000;0.0919;0.3435;0.2181;0.417
0.492000;0.0274;0.2314;0.3293;0.403
0.500000;-0.0835;0.1227;0.4523;0.476
0.510000;-0.1812;0.0277;0.5647;0.594
0.522000;-0.2194;-0.0193;0.6381;0.675
0.530000;-0.2250;-0.0413;0.5857;0.629
0.541000;-0.2338;-0.0333;0.3438;0.417
0.551000;-0.2255;-0.0074;0.1034;0.248
0.562000;-0.2035;0.0460;-0.0191;0.210
0.578000;-0.1915;0.1085;-0.0756;0.233
0.581000;-0.2040;0.2360;-0.0472;0.315
0.590000;-0.1270;0.3331;-0.0016;0.356
0.600000;-0.0447;0.3263;-0.0371;0.331
0.610000;-0.0705;0.1579;-0.0887;0.194
0.622000;-0.1439;0.0492;-0.0780;0.171
0.631000;-0.1640;-0.0815;-0.0413;0.188
0.640000;-0.1406;-0.1646;-0.0066;0.217
0.650000;-0.1333;-0.1526;0.0400;0.207
0.668000;-0.0938;-0.0863;0.0950;0.159
0.674000;-0.0321;-0.0206;0.1361;0.141
0.681000;0.0313;0.0001;0.1638;0.167
0.695000;0.0594;-0.0020;0.1058;0.121
0.701000;0.0583;-0.0412;-0.0181;0.074
0.711000;0.0372;-0.0913;-0.1601;0.188
0.724000;0.0669;-0.1397;-0.2475;0.292
0.730000;0.1208;-0.0906;-0.2304;0.275
0.740000;0.1815;0.0213;-0.2476;0.308
0.750000;0.2265;0.0879;-0.3634;0.437
0.765000;0.2343;0.1002;-0.5472;0.604
0.774000;0.1845;0.0929;-0.7342;0.763
0.780000;0.0644;0.0546;-0.7127;0.718
0.790000;-0.1330;-0.0867;-0.6078;0.628
0.800000;-0.2952;-0.2924;-0.4990;0.649
0.811000;-0.4870;-0.3941;-0.5043;0.804
0.822000;-0.5660;-0.3744;-0.4257;0.801
0.831000;-0.4110;-0.2892;-0.4797;0.695
0.840000;-0.0962;-0.0640;-0.4553;0.470
0.850000;0.1542;0.1266;-0.3433;0.397
0.865000;0.2119;0.1882;-0.1499;0.321
0.873000;0.2493;0.1656;0.0446;0.303
0.881000;0.2048;0.1390;0.3313;0.414
0.890000;0.1101;0.1128;0.5829;0.604
0.900000;0.0659;0.0924;0.7244;0.733
0.911000;0.1298;0.2155;0.6806;0.726
0.923000;-0.0451;0.1427;0.7104;0.726
0.932000;-0.0656;-0.0049;0.4453;0.450
0.941000;-0.2143;0.2123;0.3839;0.488
0.951000;-0.2439;0.2575;0.1426;0.382
0.963000;-0.2607;0.2702;0.1011;0.389
0.981000;-0.2655;0.2707;0.1923;0.425
0.984000;-0.2779;0.2420;0.2016;0.420
0.997000;-0.2898;0.2460;0.0871;0.390
1.002000;-0.2834;0.3052;-0.0169;0.417
1.011000;-0.2290;0.3832;-0.1926;0.486
1.021000;-0.1078;0.4680;-0.2013;0.521
1.030000;0.0134;0.5122;-0.1154;0.525
1.044000;0.1318;0.5461;0.0038;0.562
1.051000;0.2131;0.5312;0.1362;0.588
1.063000;0.2665;0.5096;0.2960;0.647
1.075000;0.2736;0.4249;0.4733;0.692
1.081000;0.2394;0.3339;0.5768;0.708
1.091000;0.1836;0.2716;0.6465;0.725
1.100000;0.1244;0.2572;0.6673;0.726
1.110000;0.1207;0.2418;0.6517;0.706
1.121000;0.1269;0.1985;0.7077;0.746
1.130000;0.0923;0.0957;0.7675;0.779
1.143000;-0.0295;-0.0199;0.7467;0.748
1.151000;-0.1875;-0.1168;0.6994;0.733
1.161000;-0.3186;-0.1290;0.5849;0.678
1.171000;-0.3541;-0.0853;0.3883;0.532
1.181000;-0.3073;0.0538;0.1696;0.355
1.190000;-0.1328;0.2447;0.0150;0.279
1.200000;0.0511;0.3620;0.0084;0.366
1.211000;0.1815;0.4026;0.1364;0.462
1.221000;0.2023;0.3580;0.2045;0.459
1.231000;0.1733;0.2838;0.3001;0.448
1.248000;0.1277;0.1946;0.3081;0.386
1.253000;-0.0157;0.0863;0.2319;0.248
1.267000;-0.0160;0.0855;0.2321;0.248
1.271000;-0.1078;0.0603;0.1663;0.207
1.281000;-0.2031;0.0109;0.0652;0.214
1.291000;-0.1791;0.0324;0.0594;0.191
1.300000;-0.1196;0.0649;0.1022;0.170
1.310000;-0.0170;0.0731;0.1589;0.176
1.321000;0.0563;0.0693;0.1118;0.143
1.330000;0.0345;0.0696;0.0148;0.079
1.346000;-0.0279;0.0652;-0.1254;0.144
1.352000;-0.0855;0.0793;-0.2286;0.257
1.369000;-0.1045;0.0524;-0.2406;0.267
1.372000;-0.1064;0.0863;-0.2606;0.294
1.387000;-0.0887;0.1064;-0.2278;0.267
1.401000;0.0285;0.1166;-0.0375;0.126
1.411000;0.0289;0.0757;0.0497;0.095
1.421000;0.0777;0.0278;0.1069;0.135
1.430000;0.0508;0.0064;0.0934;0.107
1.443000;-0.0224;-0.0115;0.0309;0.040
1.451000;-0.1033;-0.0137;-0.0293;0.108
1.460000;-0.1552;-0.0192;-0.0788;0.175
1.471000;-0.2044;-0.0495;-0.0985;0.232
1.480000;-0.2384;-0.0757;-0.0729;0.261
1.491000;-0.2033;-0.0811;-0.0439;0.223
1.500000;-0.1142;-0.0379;-0.0734;0.141
1.510000;-0.0466;0.0084;-0.0572;0.074
1.522000;0.0114;0.0474;0.0284;0.056
1.530000;0.0628;0.0666;0.1617;0.186
1.544000;0.0979;0.1221;0.2337;0.281
1.550000;0.1374;0.2088;0.2196;0.333
1.561000;0.1655;0.2199;0.1708;0.324
1.571000;0.1663;0.2416;-0.0371;0.296
1.580000;0.1103;0.2667;-0.1419;0.322
1.590000;0.0135;0.2341;-0.0186;0.235
1.600000;0.0017;0.0721;0.0114;0.073
1.611000;-0.0456;0.0725;0.0853;0.121
1.621000;-0.0345;0.0685;0.1865;0.202
1.631000;0.0367;0.0588;0.2187;0.229
1.644000;0.1094;0.0890;0.1080;0.178
1.651000;0.0881;0.1858;-0.0447;0.210
1.661000;0.0580;0.2815;-0.1067;0.307
1.671000;0.0552;0.3674;-0.1874;0.416
1.681000;0.1409;0.4331;-0.2342;0.512
1.692000;0.1632;0.4177;-0.1805;0.483
1.700000;0.1451;0.3228;-0.1168;0.373
1.711000;0.0844;0.2189;-0.0207;0.236
1.722000;0.0084;0.1295;0.1051;0.167
1.732000;-0.0338;0.0817;0.2596;0.274
1.746000;-0.0352;0.0718;0.3618;0.371
1.753000;-0.0248;0.1040;0.4185;0.432
1.766000;-0.0115;0.1254;0.4098;0.429
1.772000;-0.0066;0.0980;0.3924;0.404
1.782000;0.0143;0.0446;0.3793;0.382
1.792000;0.0188;0.0167;0.3538;0.355
1.801000;-0.0058;-0.0039;0.3503;0.350
1.811000;-0.0348;-0.0274;0.3159;0.319
1.822000;-0.0388;-0.0090;0.3018;0.304
1.831000;-0.0330;0.0145;0.2278;0.231
1.845000;-0.0208;0.0341;0.2276;0.231
1.851000;-0.0556;0.0367;0.2977;0.305
1.861000;-0.0883;0.0492;0.3869;0.400
1.870000;-0.1016;0.0703;0.4022;0.421
1.881000;-0.0821;0.0786;0.3009;0.322
1.892000;-0.0614;0.0840;0.1457;0.179
1.900000;-0.0630;0.0766;0.0296;0.103
1.910000;-0.0695;0.0186;-0.0513;0.088
1.921000;-0.0380;0.0044;-0.0446;0.059
1.931000;0.0031;0.0542;0.0051;0.055
1.945000;0.0577;0.1527;0.0288;0.166
1.951000;0.0459;0.1387;-0.0186;0.147
1.962000;-0.0147;0.1138;-0.0975;0.151
1.971000;-0.0753;0.0816;-0.1612;0.196
1.982000;-0.1003;0.0553;-0.1859;0.218
1.994000;-0.0913;0.0223;-0.1653;0.190
2.001000;-0.0521;-0.0092;-0.0717;0.089
2.011000;-0.0466;-0.0443;-0.0045;0.064
2.021000;-0.0537;-0.0798;0.0688;0.118
2.031000;-0.0747;-0.1277;0.0932;0.175
2.050000;-0.1348;-0.1522;0.0531;0.210
2.052000;-0.1674;-0.0645;0.1222;0.217
2.070000;-0.1852;-0.0363;0.1551;0.244
2.073000;-0.1541;-0.0095;0.1211;0.196
2.082000;-0.0781;0.0049;0.2968;0.307
2.093000;0.0799;-0.0055;0.3255;0.335
2.102000;0.1411;0.0373;0.2689;0.306
2.111000;0.1496;0.0992;0.3453;0.389
2.121000;0.1779;0.1295;0.3546;0.417
2.131000;0.2377;0.1359;0.3870;0.474
2.147000;0.2798;0.1416;0.3463;0.467
2.153000;0.2471;0.1589;0.2524;0.387
2.165000;0.1864;0.1541;0.2410;0.341
2.171000;0.1836;0.1518;0.3457;0.420
2.181000;0.2014;0.1410;0.4264;0.492
2.192000;0.2200;0.1744;0.3858;0.477
2.201000;0.1655;0.2662;0.3384;0.461
2.212000;0.1042;0.3477;0.3422;0.499
2.220000;0.1047;0.4149;0.2076;0.476
2.231000;0.1561;0.4813;0.1355;0.524
2.247000;0.2051;0.5339;0.1130;0.583
2.252000;0.2152;0.4676;0.0142;0.515
2.267000;-0.0642;0.2411;-0.0241;0.251
2.271000;-0.2644;0.1462;-0.0395;0.305
2.281000;-0.3804;0.0790;0.0354;0.390
2.291000;-0.4390;0.0811;0.0885;0.455
2.301000;-0.4389;0.1383;0.1154;0.474
2.311000;-0.3961;0.1792;0.1345;0.455
2.321000;-0.3473;0.1534;0.0613;0.385
2.330000;-0.2926;0.1725;0.1195;0.360
2.341000;-0.2856;0.1463;0.1849;0.370
2.351000;-0.2905;0.0738;0.2879;0.416
2.364000;-0.3353;-0.0288;0.4127;0.533
2.371000;-0.4221;-0.1488;0.4793;0.656
2.388000;-0.4556;-0.2062;0.4398;0.666
2.392000;-0.3905;-0.1666;0.3063;0.524
2.400000;-0.2614;-0.0237;0.1388;0.297
2.412000;-0.1259;0.1066;-0.0074;0.165
2.421000;-0.0250;0.2062;-0.1139;0.237
2.430000;0.0300;0.2317;-0.1973;0.306
2.442000;0.0624;0.1890;-0.1758;0.266
2.450000;0.0900;0.0858;-0.0766;0.146
2.462000;0.0967;-0.0275;-0.0164;0.102
2.472000;0.0454;-0.0535;0.0938;0.117
2.483000;-0.0401;-0.1116;0.1359;0.180
2.509000;-0.0774;-0.1507;0.1232;0.209
2.512000;-0.0995;-0.1510;0.0055;0.181
2.513000;-0.1546;-0.1327;-0.2197;0.300
2.521000;-0.1736;-0.0899;-0.4014;0.446
2.533000;-0.1961;-0.0817;-0.5809;0.619
2.551000;-0.1969;-0.0613;-0.5719;0.608
2.553000;-0.1419;-0.0629;-0.4375;0.464
2.576000;-0.0208;-0.0795;-0.2046;0.220
2.578000;0.0767;-0.0359;0.0726;0.112
2.581000;0.1597;0.0379;0.4144;0.446
2.594000;0.2333;0.0481;0.5900;0.636
2.601000;0.2270;0.0222;0.3450;0.414
2.612000;0.1394;0.0775;0.2075;0.262
2.621000;0.0015;0.0892;0.0195;0.091
2.633000;-0.0154;0.0937;-0.1685;0.193
2.644000;-0.0151;0.0950;-0.2375;0.256
2.651000;0.0106;0.1191;-0.2747;0.300
2.665000;0.0537;0.1567;-0.3539;0.391
2.671000;0.0923;0.2007;-0.3262;0.394
2.693000;0.0690;0.1617;-0.3321;0.376
2.696000;-0.0735;0.0907;-0.3013;0.323
2.701000;-0.2754;-0.0101;-0.2057;0.344
2.715000;-0.3669;-0.0481;-0.1760;0.410
2.721000;-0.3334;-0.0566;-0.1022;0.353
2.731000;-0.2107;-0.0172;0.0326;0.214
2.744000;-0.0929;0.0495;0.1663;0.197
2.751000;0.0408;0.1139;0.3077;0.331
2.762000;0.0963;0.1486;0.4311;0.466
2.771000;0.1470;0.1954;0.4852;0.543
2.781000;0.2070;0.2248;0.4876;0.575
2.803000;0.1989;0.2142;0.4870;0.568
2.805000;0.1417;0.1846;0.3875;0.452
2.816000;0.0608;0.1316;0.2262;0.269
2.821000;-0.0788;0.0666;0.1759;0.204
2.831000;-0.2064;-0.0010;0.1471;0.253
2.842000;-0.2537;0.0072;0.1726;0.307
2.850000;-0.2022;0.0851;0.1583;0.271
2.860000;-0.1023;0.1284;0.1402;0.216
2.871000;-0.0357;0.1460;0.1689;0.226
2.882000;-0.0274;0.1805;0.2025;0.273
2.900000;-0.0415;0.2389;0.1493;0.285
2.903000;-0.0340;0.2406;0.0190;0.244
2.913000;-0.0349;0.2239;-0.0721;0.238
2.921000;-0.0184;0.2053;-0.0280;0.208
2.931000;-0.0248;0.1289;0.0965;0.163
2.942000;-0.0196;0.0865;0.1422;0.168
2.950000;0.0106;0.1229;0.1857;0.223
2.961000;-0.0227;0.1033;0.3147;0.332
2.971000;-0.0151;0.0115;0.4223;0.423
2.983000;-0.0161;-0.0184;0.4472;0.448
3.015000;-0.0269;-0.0250;0.4570;0.458
3.018000;-0.0171;-0.0085;0.4406;0.441
3.019000;0.0390;-0.0113;0.4048;0.407
3.022000;0.1108;0.0063;0.4114;0.426
3.031000;0.2008;0.0629;0.2853;0.354
3.044000;0.2753;0.1194;0.1281;0.326
3.051000;0.3107;0.1787;-0.0240;0.359
3.061000;0.3007;0.1827;-0.1879;0.399
3.071000;0.2637;0.1934;-0.2774;0.429
3.083000;0.2298;0.2006;-0.3226;0.444
3.108000;0.2165;0.1834;-0.2820;0.400
3.110000;0.2044;0.1582;-0.1462;0.297
3.111000;0.2125;0.1311;0.0223;0.251
3.120000;0.2438;0.1068;0.1436;0.302
3.131000;0.2416;0.0629;0.2957;0.387
3.142000;0.2277;0.0967;0.3880;0.460
3.150000;0.2205;0.1543;0.2976;0.401
3.161000;0.1767;0.1707;0.0919;0.262
3.170000;0.1165;0.1586;-0.0536;0.204
3.180000;0.0691;0.1291;-0.0054;0.147
3.198000;0.0646;0.0930;0.0636;0.130
3.201000;0.0638;0.0983;0.1295;0.175
3.210000;0.0350;0.0886;0.2485;0.266
3.221000;-0.0122;0.0141;0.3168;0.317
3.230000;-0.1032;-0.0348;0.3562;0.373
3.243000;-0.1678;-0.0494;0.3132;0.359
3.251000;-0.1841;-0.0413;0.3018;0.356
3.261000;-0.1571;-0.0530;0.2043;0.263
3.270000;-0.1038;0.0092;0.1421;0.176
3.281000;-0.0464;0.0106;0.0670;0.082
3.291000;-0.0219;-0.0003;0.0185;0.029
