time;ax;ay;az;aT
0.003000;-0.7797;-0.3555;-1.2417;1.509
0.004000;-0.7901;-0.2295;-0.7788;1.133
0.013000;-0.5610;-0.2158;-0.3449;0.693
0.020000;-0.2215;-0.3161;0.1895;0.430
0.031000;0.1331;-0.3278;0.9287;0.994
0.042000;0.3256;-0.1971;1.1590;1.220
0.051000;0.4135;0.2267;0.5817;0.749
0.061000;0.3385;0.3300;-0.0413;0.475
0.072000;0.2229;0.3562;-0.7537;0.863
0.086000;0.1534;0.2790;-0.9423;0.995
0.091000;0.1101;0.1592;-0.6895;0.716
0.101000;0.0957;0.0768;-0.3688;0.389
0.111000;0.0836;0.0681;-0.1593;0.192
0.121000;0.1165;0.0340;-0.1034;0.159
0.131000;0.3031;0.0084;0.0888;0.316
0.141000;0.3879;0.0935;0.5851;0.708
0.151000;0.5254;0.2187;1.4942;1.599
0.170000;0.5417;0.2189;1.7497;1.845
0.171000;0.4689;0.1281;1.4241;1.505
0.181000;0.3307;-0.0358;0.8919;0.952
0.192000;0.1007;-0.2051;0.5869;0.630
0.210000;-0.1114;-0.2842;0.3598;0.472
0.222000;-0.3102;-0.2765;0.3780;0.562
0.223000;-0.4735;-0.3286;0.2105;0.614
0.234000;-0.5272;-0.4456;0.0955;0.697
0.241000;-0.4151;-0.5061;0.0598;0.657
0.253000;-0.2266;-0.4525;0.2743;0.576
0.260000;0.0822;-0.2503;0.5805;0.637
0.270000;0.2635;-0.0497;0.8287;0.871
0.281000;0.3723;0.1058;0.8651;0.948
0.291000;0.4302;0.2008;0.6855;0.834
0.312000;0.3935;0.1890;0.4164;0.603
0.313000;0.2853;0.1074;0.2721;0.409
0.321000;0.1677;0.0491;0.2405;0.297
0.331000;0.0869;0.0656;0.3180;0.336
0.341000;0.0229;0.0414;0.3980;0.401
0.351000;-0.0223;-0.0040;0.3742;0.375
0.362000;-0.0341;-0.0631;0.3147;0.323
0.371000;-0.0062;-0.0826;0.3370;0.347
0.391000;0.0912;0.1075;0.3226;0.352
0.393000;0.1103;0.1808;0.2260;0.310
0.401000;0.0945;0.2022;0.1370;0.262
0.412000;0.0883;0.1735;0.0387;0.198
0.421000;0.1142;0.1856;0.0243;0.219
0.430000;0.1587;0.1776;0.1246;0.269
0.440000;0.1616;0.1854;0.2819;0.374
0.451000;0.1543;0.1748;0.3623;0.431
0.468000;0.1371;0.1283;0.2858;0.342
0.470000;0.1578;0.0676;0.1578;0.233
0.481000;0.1734;0.0030;0.0752;0.189
0.491000;0.1468;-0.0364;0.0286;0.154
0.512000;0.0942;-0.0278;0.0526;0.111
