time;ax;ay;az;aT
0.003000;0.1242;-0.1733;-0.1933;0.288
0.003000;0.2436;-0.1837;-0.4567;0.549
0.004000;0.3121;-0.1508;-0.5920;0.686
0.010000;0.2857;-0.1215;-0.6127;0.687
0.014000;0.2603;-0.0771;-0.5293;0.595
0.019000;0.2000;-0.0338;-0.3571;0.411
0.029000;0.1126;-0.0013;-0.1419;0.181
0.030000;0.0144;0.0914;0.0970;0.134
0.034000;-0.0617;0.1276;0.3025;0.334
0.039000;-0.0928;0.0979;0.3755;0.399
0.044000;-0.0830;-0.0350;0.3480;0.359
0.050000;-0.0845;-0.1447;0.1972;0.259
0.053000;-0.0472;-0.2619;0.0949;0.283
0.058000;0.0532;-0.2660;0.0077;0.271
0.063000;0.1100;-0.2643;-0.0007;0.286
0.068000;0.0722;-0.2621;-0.0706;0.281
0.076000;0.0425;-0.2448;-0.0665;0.257
0.078000;0.0143;-0.2154;-0.0599;0.224
0.083000;0.0301;-0.1668;-0.0463;0.176
0.087000;0.0208;-0.1113;0.0267;0.116
0.093000;0.0244;-0.0512;0.1015;0.116
0.098000;0.0244;-0.0154;0.2020;0.204
0.102000;-0.0500;0.0147;0.2499;0.255
0.110000;-0.1579;0.0534;0.2953;0.339
0.113000;-0.1994;0.0364;0.3194;0.378
0.118000;-0.1944;0.0630;0.3605;0.414
0.122000;-0.1940;0.0546;0.3734;0.424
0.127000;-0.1747;0.0298;0.3654;0.406
0.132000;-0.1628;0.0079;0.3249;0.364
0.137000;-0.1361;0.0004;0.3021;0.331
0.142000;-0.1086;-0.0069;0.3063;0.325
0.147000;-0.0752;-0.0263;0.3065;0.317
0.151000;-0.0449;-0.0546;0.2907;0.299
0.158000;-0.0438;-0.0850;0.2994;0.314
0.161000;-0.0407;-0.0907;0.3466;0.361
0.167000;-0.0474;-0.1147;0.3037;0.328
0.171000;-0.0618;-0.1090;0.2568;0.286
0.176000;-0.1009;-0.1137;0.2320;0.277
0.182000;-0.1576;-0.1048;0.1576;0.246
0.186000;-0.1612;-0.0673;0.1361;0.221
0.192000;-0.2146;0.0007;0.0981;0.236
0.195000;-0.2086;0.0044;0.0484;0.214
0.201000;-0.2341;0.0298;-0.0248;0.237
0.206000;-0.1882;0.0509;-0.0906;0.215
0.211000;-0.1423;0.0321;-0.1275;0.194
0.216000;-0.0984;0.0310;-0.1691;0.198
0.221000;-0.0044;-0.0196;-0.1417;0.143
0.226000;0.0153;-0.0380;-0.1147;0.122
0.231000;0.0490;-0.0816;-0.1261;0.158
0.235000;0.0465;-0.1052;-0.1448;0.185
0.241000;0.0363;-0.0920;-0.1469;0.177
0.248000;0.0042;-0.0495;-0.1470;0.155
0.251000;-0.0258;-0.0065;-0.1164;0.119
0.255000;-0.0442;0.0322;-0.1433;0.153
0.260000;-0.0468;0.0594;-0.1416;0.161
