time;ax;ay;az;aT
0.004000;-1.5210;-0.0551;-3.1264;3.477
0.004000;-1.1358;0.5724;-2.3185;2.644
0.014000;-0.1041;0.8448;-1.0072;1.319
0.024000;0.6985;0.8461;0.1683;1.110
0.034000;0.9733;0.7256;1.4494;1.891
0.044000;0.8640;0.4959;2.4402;2.636
0.054000;0.6063;0.1459;2.6672;2.739
0.064000;0.1485;-0.2134;2.2440;2.259
0.076000;-0.3299;-0.4928;1.4213;1.540
0.084000;-0.6003;-0.5491;0.5013;0.956
0.094000;-0.6792;-0.4261;-0.2152;0.830
0.104000;-0.5488;-0.1846;-0.6229;0.851
0.114000;-0.3603;0.0804;-0.6536;0.751
0.125000;-0.1611;0.2551;-0.3233;0.442
0.134000;-0.0033;0.3628;0.1856;0.408
0.144000;0.1906;0.3257;0.2543;0.455
0.154000;0.2482;0.1032;0.1523;0.309
0.164000;0.0306;0.0346;-0.0082;0.047
0.175000;-0.1630;-0.0491;-0.0755;0.186
0.184000;-0.2690;-0.1535;-0.1093;0.328
0.194000;-0.3855;-0.2636;-0.2355;0.523
0.204000;-0.3920;-0.2492;-0.3645;0.590
0.214000;-0.3243;-0.2014;-0.4138;0.563
0.225000;-0.2416;-0.1799;-0.4913;0.576
0.234000;-0.2126;-0.1419;-0.4397;0.509
0.244000;-0.1959;-0.0645;-0.2308;0.309
0.254000;-0.0960;0.0804;0.0306;0.129
0.263000;0.0421;0.1852;0.3359;0.386
0.276000;0.1236;0.1216;0.5478;0.575
0.284000;0.1252;-0.0194;0.6074;0.620
0.295000;0.0580;-0.1455;0.5289;0.552
0.304000;-0.0380;-0.2082;0.4962;0.539
0.314000;-0.0946;-0.2909;0.3534;0.467
0.325000;-0.1633;-0.3440;0.1277;0.402
0.333000;-0.2439;-0.3088;-0.0242;0.394
0.344000;-0.2209;-0.1713;-0.1171;0.303
0.354000;-0.0733;-0.1248;-0.1969;0.244
0.364000;0.0530;-0.1232;-0.3027;0.331
0.375000;0.0797;-0.1722;-0.4606;0.498
0.384000;0.0105;-0.2196;-0.5390;0.582
0.394000;-0.0679;-0.2170;-0.6320;0.672
0.404000;-0.0725;-0.1811;-0.7091;0.735
0.414000;-0.0586;-0.1272;-0.8254;0.837
0.424000;-0.0579;-0.1719;-0.8213;0.841
0.434000;-0.0720;-0.1760;-0.7839;0.807
0.444000;-0.0800;-0.1241;-0.5576;0.577
0.454000;-0.0459;-0.0454;-0.1739;0.186
0.464000;0.0622;0.1410;0.2465;0.291
0.475000;0.1379;0.2708;0.7026;0.765
0.484000;-0.0437;0.0786;0.8862;0.891
0.494000;-0.1977;-0.0257;0.6415;0.672
0.503000;-0.3199;-0.1087;0.3406;0.480
0.514000;-0.3930;-0.1284;0.0689;0.419
0.524000;-0.4082;-0.0463;0.0917;0.421
0.535000;-0.3557;0.0986;0.3245;0.491
0.553000;-0.2862;0.2227;0.6018;0.703
0.554000;-0.1188;0.3999;0.8125;0.913
0.564000;0.0030;0.5469;0.9547;1.100
0.576000;-0.0131;0.5878;0.9427;1.111
0.584000;-0.0998;0.5767;0.7740;0.970
0.594000;-0.1586;0.6159;0.5181;0.820
0.604000;-0.1270;0.7143;0.2356;0.763
0.615000;-0.1231;0.8314;0.0478;0.842
0.624000;-0.1117;0.8625;-0.5780;1.044
0.634000;-0.2311;0.8700;0.2570;0.936
0.653000;-0.3164;0.9553;0.7155;1.235
0.654000;-0.1964;0.9098;0.4803;1.047
0.665000;-0.0341;0.8523;1.0724;1.370
0.677000;0.0891;0.9088;1.2540;1.551
0.684000;0.0729;0.9485;1.6430;1.899
0.694000;-0.0665;0.8921;1.6795;1.903
0.704000;-0.2813;0.7472;1.5966;1.785
0.714000;-0.2770;0.5972;1.3676;1.518
0.726000;-0.1595;0.4450;1.1093;1.206
0.735000;-0.0816;0.4482;1.0949;1.186
0.744000;0.2765;0.6298;1.0115;1.223
0.754000;0.4807;0.7839;0.6440;1.123
0.772000;0.4955;0.8467;0.2067;1.003
0.780000;0.4831;0.8895;-0.0954;1.017
0.784000;0.3954;0.8003;-0.3882;0.973
0.795000;0.1636;0.5229;-0.6768;0.871
0.804000;-0.1019;0.1605;-0.8467;0.868
0.814000;-0.4533;-0.6395;-0.6402;1.012
0.824000;-0.4888;-0.7336;-0.2958;0.930
0.834000;-0.3884;-0.7119;0.1254;0.821
0.859000;-0.3750;-0.6591;0.6303;0.986
0.862000;-0.3611;-0.4925;1.0368;1.203
0.865000;-0.3511;-0.2349;1.1782;1.252
0.884000;-0.4310;0.0031;1.2558;1.328
0.887000;-0.3420;0.2382;1.2106;1.280
0.896000;-0.2479;0.3806;1.1140;1.203
0.904000;-0.0215;0.5247;1.0244;1.151
0.915000;0.1759;0.5450;1.0615;1.206
0.925000;0.3332;0.5479;1.2781;1.430
0.934000;0.4958;0.4503;1.3931;1.546
0.948000;0.5923;0.2124;1.3483;1.488
0.955000;-0.0690;-0.4260;0.9502;1.044
0.968000;-0.5437;-0.9156;0.6388;1.242
0.974000;-0.8039;-1.1766;0.7969;1.633
0.984000;-0.8607;-1.4279;0.6997;1.808
0.994000;-0.6908;-1.5261;0.2947;1.701
1.004000;0.2507;-1.2729;-1.1186;1.713
1.014000;1.8484;-0.6265;-4.1259;4.564
1.024000;1.9935;0.3474;-5.0494;5.440
1.034000;0.2669;0.7616;-2.0542;2.207
1.046000;-1.5017;0.6820;0.0496;1.650
1.054000;-2.4289;0.2427;0.2687;2.456
1.064000;-2.2136;-0.3706;-0.3328;2.269
1.074000;-1.4741;-0.8648;-0.6461;1.827
1.084000;-1.0200;-1.0646;-0.3783;1.522
1.094000;-0.9644;-1.1077;0.1335;1.475
1.104000;-1.0126;-1.0999;0.3817;1.543
1.114000;-0.9992;-1.0472;0.3088;1.480
1.124000;-0.9726;-0.9580;0.1241;1.371
1.134000;-0.8162;-0.8471;-0.0799;1.179
1.145000;-0.2163;-0.5447;-0.5598;0.810
1.154000;0.1300;-0.3570;-0.3358;0.507
1.164000;0.4130;-0.1628;0.0234;0.445
1.174000;0.6003;-0.0758;0.0493;0.607
1.184000;0.6760;-0.0548;-0.0274;0.679
1.194000;0.6304;-0.0869;-0.2533;0.685
1.204000;0.4270;-0.1339;-0.4523;0.636
1.214000;0.1564;-0.1921;-0.4506;0.514
1.225000;-0.0387;-0.2594;-0.4147;0.491
1.234000;-0.2109;-0.3414;-0.3111;0.508
1.248000;-0.2998;-0.4664;-0.2889;0.625
1.255000;-0.3076;-0.5730;-0.3343;0.731
1.267000;-0.3524;-0.5749;-0.3481;0.759
1.282000;-0.3909;-0.5305;-0.1925;0.686
1.284000;-0.3569;-0.4990;0.0549;0.616
1.296000;-0.1664;-0.4101;0.1686;0.474
1.304000;0.1513;-0.2500;0.1298;0.320
1.315000;0.3959;-0.1252;-0.0042;0.415
1.324000;0.4572;-0.0670;-0.1405;0.483
1.334000;0.5195;-0.0045;-0.2770;0.589
1.346000;0.4934;0.0265;-0.3593;0.611
1.354000;0.4311;0.0417;-0.3314;0.545
1.364000;0.4722;0.0410;-0.3067;0.565
1.374000;0.5709;0.0736;-0.2435;0.625
1.384000;0.6264;0.1344;-0.0336;0.642
1.394000;0.6455;0.1797;0.2968;0.733
1.403000;0.8307;0.2871;0.6232;1.077
1.415000;1.0654;0.4765;0.8065;1.419
1.424000;1.1811;0.5893;0.7470;1.517
1.435000;1.2313;0.6775;0.5339;1.503
1.449000;1.1888;0.6667;0.1805;1.375
1.456000;1.0132;0.6013;-0.1595;1.189
1.468000;0.7074;0.5812;-0.1977;0.937
1.474000;0.1680;0.5422;0.0979;0.576
1.484000;-0.0937;0.4851;0.0632;0.498
1.494000;-0.3656;0.3772;0.0696;0.530
1.503000;-0.6119;0.1873;0.2869;0.701
1.514000;-0.7099;-0.0344;0.5555;0.902
1.524000;-0.7533;-0.2900;0.7405;1.095
1.534000;-0.8001;-0.5002;0.7829;1.226
1.550000;-0.8200;-0.5862;0.7401;1.250
1.555000;-0.7941;-0.5677;0.6182;1.155
1.573000;-0.7208;-0.5051;0.3500;0.947
1.577000;-0.6545;-0.3995;0.0878;0.772
1.584000;-0.5691;-0.2828;-0.1555;0.654
1.594000;-0.4146;-0.1643;-0.3446;0.564
1.604000;-0.2694;-0.0647;-0.3572;0.452
1.614000;-0.1880;-0.0074;-0.2419;0.306
1.624000;-0.0666;0.0863;-0.0896;0.141
1.634000;0.0348;0.1359;0.0309;0.144
1.650000;0.0765;0.1090;0.1376;0.191
1.672000;0.1174;0.0564;0.2546;0.286
1.674000;0.2110;0.0928;0.3800;0.444
1.676000;0.2865;0.1203;0.4554;0.551
1.688000;0.3065;0.1330;0.5133;0.612
1.702000;0.4194;0.1681;0.5227;0.691
1.706000;0.4789;0.1970;0.4430;0.681
1.714000;0.3982;0.1992;0.3013;0.538
1.724000;0.2629;0.1396;0.1407;0.329
1.734000;0.2622;0.0807;-0.0632;0.282
1.751000;0.2134;0.0507;-0.1465;0.264
1.755000;0.1219;0.0269;-0.1466;0.193
1.772000;-0.0195;-0.0335;-0.1600;0.165
1.774000;-0.1063;-0.1094;-0.2669;0.307
1.784000;-0.0880;-0.1507;-0.4315;0.465
1.797000;-0.1161;-0.1909;-0.3754;0.437
1.805000;-0.1605;-0.2640;-0.1334;0.337
1.815000;-0.1614;-0.2882;-0.0584;0.335
1.824000;-0.2400;-0.3275;0.0735;0.413
1.834000;-0.3016;-0.3561;0.2024;0.509
1.850000;-0.2438;-0.3669;0.2210;0.493
1.854000;-0.1159;-0.3025;0.1655;0.364
1.870000;0.0050;-0.1672;0.1353;0.215
1.875000;0.1035;-0.0221;0.1796;0.208
1.884000;0.1750;0.0892;0.2741;0.337
1.894000;0.1585;0.1424;0.3389;0.400
1.904000;0.1086;0.1445;0.3900;0.430
1.914000;0.0946;0.1114;0.3974;0.423
1.925000;0.0547;0.0592;0.4161;0.424
1.934000;0.0896;0.0332;0.4736;0.483
1.948000;0.1678;0.0777;0.5832;0.612
1.954000;0.2629;0.1273;0.6190;0.684
1.965000;0.3485;0.1787;0.5955;0.713
1.974000;0.4228;0.2090;0.4980;0.686
1.984000;0.3833;0.2208;0.3442;0.560
1.996000;0.3493;0.2211;0.1973;0.458
2.004000;0.3478;0.2351;0.0979;0.431
2.014000;0.3390;0.2597;0.0588;0.431
2.024000;0.3071;0.2493;0.0756;0.403
2.034000;0.2157;0.2340;0.1375;0.347
2.052000;0.1605;0.1777;0.1505;0.283
2.055000;0.1080;0.0799;0.1352;0.191
2.077000;0.0391;-0.0062;0.1013;0.109
2.079000;-0.0325;-0.0747;0.0103;0.082
2.085000;-0.0643;-0.1195;-0.1295;0.188
2.096000;-0.0965;-0.1481;-0.2250;0.286
2.104000;-0.1480;-0.1418;-0.2345;0.311
2.115000;-0.1709;-0.1445;-0.1978;0.299
2.125000;-0.2269;-0.1371;-0.1146;0.289
2.135000;-0.2683;-0.1547;0.0075;0.310
2.152000;-0.2299;-0.2085;0.1830;0.360
2.156000;-0.1947;-0.2792;0.3148;0.464
2.177000;-0.1645;-0.3265;0.4151;0.553
2.180000;-0.1013;-0.2916;0.4496;0.545
2.185000;-0.0800;-0.2373;0.4259;0.494
2.197000;-0.1311;-0.1843;0.3271;0.398
2.205000;-0.1529;-0.1391;0.1837;0.277
2.215000;-0.1164;-0.1004;0.1139;0.191
2.225000;-0.0258;-0.0956;0.0875;0.132
2.234000;0.0969;-0.0992;0.0002;0.139
2.250000;0.2484;-0.0753;-0.1134;0.283
2.256000;0.4011;-0.0496;-0.1876;0.446
2.267000;0.5352;-0.0050;-0.2273;0.581
2.274000;0.6234;0.0167;-0.2614;0.676
2.284000;0.6471;-0.0013;-0.2767;0.704
2.294000;0.6325;0.0308;-0.2636;0.686
2.304000;0.6487;0.0639;-0.3094;0.722
2.314000;0.7142;0.1235;-0.2697;0.773
2.323000;0.7021;0.2061;-0.2261;0.766
2.334000;0.5714;0.2650;-0.1536;0.648
2.349000;0.4621;0.3132;0.0460;0.560
2.354000;0.4435;0.3453;0.3909;0.685
2.365000;0.4192;0.3607;0.6688;0.868
2.374000;0.3405;0.3853;0.7112;0.878
2.383000;0.2769;0.4783;0.5642;0.790
2.395000;0.3307;0.6637;0.2880;0.796
2.403000;0.2232;0.7265;0.1759;0.780
2.415000;0.1994;0.6372;-0.0783;0.672
2.424000;0.2411;0.6058;-0.2501;0.698
2.434000;0.1033;0.5697;-0.3122;0.658
2.449000;-0.0375;0.5864;-0.2156;0.626
2.454000;-0.2165;0.5829;0.0007;0.622
2.466000;-0.3225;0.4887;0.3824;0.699
2.474000;-0.5120;0.1579;0.6337;0.830
2.484000;-0.6225;0.0433;0.8986;1.094
