time;ax;ay;az;aT
0.002000;0.2117;0.1589;0.5097;0.574
0.012000;0.2998;0.0588;0.4108;0.512
0.015000;0.2538;0.0521;0.4277;0.500
0.024000;0.2087;0.1164;0.6098;0.655
0.034000;0.2320;0.1837;0.6874;0.748
0.044000;0.2627;0.2521;0.6259;0.724
0.055000;0.2147;0.3309;0.4919;0.631
0.064000;0.1190;0.3358;0.2716;0.448
0.074000;0.0680;0.3093;-0.0548;0.321
0.084000;0.0289;0.2617;-0.2769;0.382
0.094000;0.0156;0.2115;-0.3585;0.417
0.106000;-0.0029;0.1358;-0.3714;0.395
0.114000;0.0129;0.0731;-0.2867;0.296
0.124000;0.0560;0.0519;-0.1580;0.176
0.134000;0.1345;0.0706;-0.0286;0.155
0.144000;0.2185;0.1177;0.1138;0.273
0.155000;0.3209;0.1490;0.2181;0.416
0.164000;0.3689;0.1450;0.2308;0.459
0.174000;0.3299;0.1251;0.2789;0.450
0.184000;0.2512;0.0679;0.3372;0.426
0.195000;0.1723;0.0220;0.3541;0.394
0.212000;0.1082;0.0037;0.3797;0.395
0.214000;0.1021;0.0072;0.4064;0.419
0.225000;0.1428;0.0479;0.3481;0.379
0.234000;0.2017;0.0671;0.2911;0.360
0.244000;0.2002;0.0902;0.2615;0.341
0.255000;0.1077;0.1084;0.2750;0.315
0.264000;0.0618;0.1355;0.2624;0.302
0.274000;0.0726;0.1654;0.1902;0.262
0.284000;0.1162;0.2124;0.0991;0.262
0.294000;0.0547;0.0932;0.0343;0.113
0.313000;-0.0966;-0.0501;0.2097;0.236
0.315000;-0.1967;-0.1678;0.4135;0.488
0.324000;-0.2068;-0.2635;0.5030;0.604
0.334000;-0.1970;-0.2862;0.6078;0.700
0.344000;-0.2265;-0.2154;0.7545;0.817
0.355000;-0.2317;-0.1246;0.6311;0.684
0.364000;-0.2292;-0.0337;0.3842;0.449
0.375000;-0.2346;0.0107;0.1599;0.284
0.385000;-0.2136;0.0253;-0.0040;0.215
0.394000;-0.1818;-0.0155;-0.0432;0.188
0.412000;-0.1579;-0.0724;-0.0646;0.185
0.414000;-0.1608;-0.1246;0.0058;0.203
0.424000;-0.1856;-0.2114;0.1488;0.318
0.434000;-0.2443;-0.2659;0.3007;0.470
0.444000;-0.3219;-0.2714;0.3183;0.528
0.455000;-0.3979;-0.2562;0.2125;0.519
0.464000;-0.3755;-0.1958;0.0961;0.434
0.475000;-0.2970;-0.1487;0.0136;0.332
0.484000;-0.2003;-0.0807;-0.0539;0.223
0.494000;-0.1514;-0.0325;-0.0713;0.170
0.519000;-0.1528;-0.0726;-0.0167;0.170
0.521000;-0.1371;-0.1150;0.0595;0.189
0.525000;-0.1788;-0.1345;0.1293;0.258
0.534000;-0.2424;-0.1832;0.1384;0.334
0.545000;-0.2770;-0.2011;0.1190;0.362
0.556000;-0.2735;-0.2087;0.0773;0.353
0.564000;-0.2404;-0.1895;0.1078;0.325
0.575000;-0.2009;-0.1667;0.2361;0.352
0.584000;-0.1485;-0.1064;0.2701;0.326
0.595000;-0.0730;0.0002;0.1721;0.187
0.623000;0.0340;0.0625;0.0859;0.112
0.625000;0.1499;0.0928;-0.0856;0.196
0.627000;0.1234;0.0892;-0.0878;0.176
0.636000;0.0186;0.0080;-0.0327;0.038
0.645000;-0.0898;-0.1421;0.1125;0.202
0.656000;-0.1301;-0.2509;0.2293;0.364
0.665000;-0.0806;-0.2214;0.2737;0.361
0.675000;0.1050;-0.0743;0.2822;0.310
0.685000;0.2830;0.0906;0.1395;0.328
0.695000;0.4064;0.2601;-0.0171;0.483
0.712000;0.4624;0.3644;-0.0148;0.589
0.715000;0.4948;0.3893;0.0192;0.630
0.726000;0.4670;0.3449;0.0308;0.581
0.734000;0.3360;0.2743;-0.0339;0.435
0.744000;0.1788;0.2256;-0.2519;0.382
0.757000;0.0749;0.2317;-0.6372;0.682
0.764000;-0.0510;0.1569;-0.8207;0.837
0.774000;-0.1651;0.0689;-0.6717;0.695
0.784000;-0.2343;-0.0016;-0.3370;0.410
0.794000;-0.2098;0.0020;-0.2882;0.357
0.817000;-0.0907;0.0938;-0.5404;0.556
0.819000;0.1236;0.3494;-0.8928;0.967
0.825000;0.3231;0.5639;-1.2507;1.409
0.834000;0.1981;0.4891;-1.0771;1.199
0.845000;-0.0981;0.0567;-0.3916;0.408
0.856000;0.0675;-0.0498;0.4911;0.498
0.864000;0.0163;-0.1231;1.3164;1.322
0.875000;0.2930;-0.0158;1.1938;1.229
0.884000;0.4280;0.1125;1.3233;1.395
0.894000;0.1690;0.0132;1.6803;1.689
0.904000;0.0904;-0.1036;1.7151;1.721
0.916000;0.4979;0.2254;1.5077;1.604
0.924000;0.9539;0.6315;0.7243;1.354
0.934000;1.0744;0.7773;-0.3532;1.372
0.944000;0.5483;0.5532;-0.7646;1.091
0.955000;-0.7722;-0.3368;-0.0047;0.842
0.964000;-1.0678;-0.7482;0.3058;1.339
0.975000;-1.1364;-0.8897;0.3297;1.480
0.984000;-1.1302;-0.8863;0.2542;1.459
0.994000;-1.0219;-0.7741;0.0807;1.284
1.010000;-0.7752;-0.6354;-0.1566;1.014
1.015000;-0.5651;-0.4847;-0.5077;0.901
1.025000;-0.4930;-0.3376;-0.9569;1.128
1.034000;-0.5419;-0.2714;-0.9836;1.155
1.044000;-0.5411;-0.2107;-0.6372;0.862
1.055000;-0.4206;-0.1614;-0.4215;0.617
1.064000;-0.2270;-0.1460;0.1015;0.288
1.075000;-0.0485;-0.2049;0.3327;0.394
1.084000;0.2131;-0.1727;0.6765;0.730
1.095000;0.4649;-0.0493;1.3594;1.438
1.105000;0.5967;-0.0056;1.3922;1.515
1.115000;0.6867;0.1830;0.9495;1.186
1.131000;0.6831;0.4742;0.4541;0.947
1.134000;0.5718;0.5875;0.1272;0.830
1.144000;0.3998;0.5114;0.0683;0.653
1.154000;0.2472;0.3541;0.3904;0.582
1.165000;0.1037;0.1111;0.7488;0.764
1.176000;-0.0565;-0.1998;1.0733;1.093
1.185000;-0.3308;-0.3894;1.3182;1.414
1.195000;-0.5000;-0.6398;1.1639;1.419
1.205000;-0.5288;-0.7356;0.7000;1.145
1.215000;-0.4570;-0.6297;0.2631;0.821
1.232000;-0.2716;-0.3478;-0.0181;0.442
1.236000;-0.0297;-0.0875;-0.3037;0.318
1.245000;0.1919;0.1638;-0.4477;0.514
1.255000;0.3794;0.3483;-0.4087;0.658
1.264000;0.3855;0.2884;-0.2222;0.530
1.275000;0.2567;0.0443;-0.0216;0.261
1.284000;0.1197;0.0353;0.2265;0.259
1.294000;0.1525;0.0619;0.4450;0.474
1.306000;0.2805;0.1078;0.4140;0.512
1.316000;0.4068;0.1706;0.2494;0.507
1.332000;0.4223;0.1911;0.1482;0.487
1.335000;0.4308;0.2027;0.0441;0.478
1.345000;0.4066;0.1764;0.0136;0.443
1.355000;0.4080;0.1380;-0.1248;0.448
1.364000;0.3926;0.1728;-0.4585;0.628
1.376000;0.2781;0.1848;-0.7186;0.792
1.386000;0.2267;0.2183;-0.8104;0.869
1.395000;0.2022;0.2393;-0.7735;0.835
1.405000;0.1901;0.2428;-0.4751;0.566
1.415000;0.2087;0.1908;0.0350;0.285
1.432000;0.2113;0.0897;0.4941;0.545
1.436000;0.2146;0.0242;0.7240;0.756
1.445000;0.2240;-0.0192;0.8227;0.853
1.455000;0.1859;-0.0608;0.7282;0.754
1.464000;0.1184;-0.0714;0.5314;0.549
1.475000;-0.0145;-0.0921;0.4311;0.441
1.484000;-0.0453;-0.0238;0.2785;0.283
1.495000;0.0191;0.1079;0.0028;0.110
1.505000;0.1338;0.2400;-0.1391;0.308
1.515000;0.2796;0.3770;-0.2614;0.537
1.536000;0.4194;0.4661;-0.2138;0.662
1.539000;0.5250;0.4654;-0.0589;0.704
1.546000;0.4838;0.4227;0.1589;0.662
1.555000;0.3159;0.3493;0.4076;0.623
1.565000;0.1482;0.2019;0.4716;0.534
1.576000;0.0083;0.0555;0.3602;0.364
1.586000;-0.0717;0.0006;0.2388;0.249
1.595000;-0.0692;-0.0260;0.0461;0.087
1.605000;-0.0204;0.0101;-0.1766;0.178
1.616000;0.1134;0.1698;-0.2139;0.296
1.634000;0.2167;0.2263;-0.0717;0.321
1.636000;0.3126;0.2710;0.0041;0.414
1.649000;0.3175;0.2653;0.0279;0.415
1.655000;0.2560;0.2061;0.0728;0.337
1.665000;0.1783;0.0831;0.1511;0.248
1.676000;0.1048;-0.0677;0.0964;0.158
1.685000;-0.0196;-0.1784;0.0246;0.181
1.695000;-0.1191;-0.1787;-0.0008;0.215
1.705000;-0.0794;-0.0718;0.0498;0.118
1.718000;0.0030;0.0466;0.2128;0.218
1.738000;0.0995;0.1228;0.2553;0.300
1.740000;0.0910;0.1390;0.1818;0.246
1.747000;-0.0171;0.1108;0.0405;0.119
1.755000;-0.1651;-0.0042;-0.1300;0.210
1.765000;-0.2821;-0.1499;-0.3660;0.486
1.776000;-0.3661;-0.1964;-0.5494;0.689
1.785000;-0.4131;-0.1447;-0.5116;0.673
1.797000;-0.3886;-0.0766;-0.3442;0.525
1.805000;-0.3273;-0.0031;-0.1464;0.359
1.815000;-0.2711;0.0509;0.0487;0.280
1.833000;-0.2596;0.0537;0.1519;0.306
1.836000;-0.2331;0.0437;0.2041;0.313
1.852000;-0.1999;0.0456;0.1844;0.276
1.854000;-0.1099;0.0444;0.0867;0.147
1.864000;-0.0780;0.0523;-0.0041;0.094
1.877000;-0.1393;0.0394;-0.0773;0.164
1.884000;-0.2311;-0.0050;-0.0825;0.245
1.894000;-0.2640;-0.0402;-0.0318;0.269
1.904000;-0.2483;-0.0538;-0.0314;0.256
1.915000;-0.2083;-0.0531;0.0026;0.215
1.929000;-0.1704;-0.0205;0.0702;0.185
1.935000;-0.1255;-0.0247;0.0987;0.162
1.945000;-0.0998;-0.0312;-0.0555;0.118
1.954000;-0.0386;-0.0098;-0.1891;0.193
1.965000;-0.0174;0.0366;-0.2842;0.287
1.976000;-0.0113;0.1014;-0.2419;0.263
1.985000;-0.0032;0.1296;-0.0830;0.154
1.995000;0.0219;0.1406;0.0644;0.156
2.004000;-0.0110;0.1170;0.2508;0.277
2.015000;-0.0336;0.1248;0.3832;0.404
2.036000;-0.0417;0.1166;0.4129;0.431
2.037000;0.0202;0.1573;0.3053;0.344
2.049000;0.0893;0.2203;0.1638;0.289
2.054000;0.1555;0.3096;0.0012;0.346
2.064000;0.1563;0.3454;-0.0510;0.383
2.075000;0.1038;0.3200;-0.0492;0.340
2.084000;0.0115;0.2698;0.0159;0.271
2.095000;-0.0788;0.1834;0.2171;0.295
2.104000;-0.1379;0.0536;0.4139;0.440
2.114000;-0.1515;-0.0149;0.4999;0.523
2.126000;-0.1433;0.0110;0.5437;0.562
