time;ax;ay;az;aT
0.003000;-0.0560;0.5985;0.5676;0.827
0.004000;0.0586;0.4071;-0.0763;0.418
0.004000;0.3079;0.1800;-0.6091;0.706
0.010000;0.5836;-0.0954;-0.9288;1.101
0.011000;0.7104;-0.2128;-1.0437;1.280
0.016000;0.7440;-0.1941;-1.0212;1.278
0.022000;0.5921;-0.1138;-0.9833;1.153
0.026000;0.4600;0.0206;-0.8823;0.995
0.031000;0.3370;0.1536;-0.7827;0.866
0.036000;0.2680;0.1942;-0.6627;0.741
0.041000;0.2683;0.2040;-0.5033;0.606
0.046000;0.2921;0.1848;-0.4211;0.545
0.051000;0.2623;0.1643;-0.4562;0.551
0.057000;0.2080;0.1929;-0.4056;0.495
0.061000;0.2172;0.1744;-0.1643;0.323
0.065000;0.2219;0.2540;-0.0549;0.342
0.071000;0.2061;0.2854;0.1356;0.377
0.076000;0.1998;0.2756;0.3734;0.505
0.080000;0.2091;0.2715;0.6086;0.698
0.085000;0.2147;0.2246;0.7863;0.845
0.091000;0.1852;0.1868;0.9405;0.977
0.095000;0.1684;0.1099;1.0615;1.080
0.100000;0.1235;0.0461;1.1282;1.136
0.106000;0.0723;0.0049;1.1502;1.152
0.110000;-0.0089;-0.0112;1.1133;1.113
0.115000;-0.0836;-0.0189;1.0224;1.026
0.120000;-0.1341;-0.0320;0.8895;0.900
0.125000;-0.1573;-0.0284;0.6335;0.653
0.129000;-0.1877;-0.0312;0.3787;0.424
0.134000;-0.1749;-0.0586;0.1940;0.268
0.139000;-0.1752;-0.0496;0.0288;0.184
0.145000;-0.1835;0.0057;-0.1456;0.234
0.149000;-0.1468;0.0268;-0.2508;0.292
0.155000;-0.1173;0.0378;-0.3274;0.350
0.159000;-0.0545;0.0437;-0.3304;0.338
0.164000;0.0077;0.0206;-0.2836;0.284
0.168000;0.0714;0.0255;-0.1778;0.193
0.175000;0.1163;0.0510;-0.0607;0.141
0.179000;0.1303;0.0701;0.1179;0.189
0.183000;0.1771;0.0944;0.2888;0.352
0.198000;0.2231;0.1089;0.4162;0.485
0.199000;0.2277;0.0633;0.5267;0.577
0.199000;0.2242;0.0120;0.6061;0.646
0.203000;0.1938;-0.0237;0.6021;0.633
0.208000;0.1843;-0.0415;0.5912;0.621
0.213000;0.1122;-0.0105;0.5593;0.570
0.217000;0.0472;-0.0190;0.4871;0.490
0.222000;-0.0083;-0.0192;0.3940;0.395
0.227000;-0.0803;-0.0108;0.3134;0.324
0.232000;-0.1211;-0.0125;0.1759;0.214
0.236000;-0.1473;-0.0314;0.0841;0.173
0.242000;-0.1614;-0.0481;-0.0192;0.170
0.247000;-0.1754;-0.0432;-0.1032;0.208
0.251000;-0.1631;-0.0237;-0.2061;0.264
0.257000;-0.1222;-0.0707;-0.3184;0.348
0.262000;-0.0934;-0.0357;-0.3661;0.380
0.266000;-0.0647;0.0049;-0.3711;0.377
0.271000;-0.0652;-0.0110;-0.3786;0.384
0.276000;-0.0492;0.0218;-0.3220;0.326
0.281000;-0.0335;0.0270;-0.2323;0.236
0.286000;-0.0249;0.0161;-0.1909;0.193
0.291000;-0.0211;-0.0085;-0.0876;0.090
0.296000;-0.0243;-0.0326;0.0058;0.041
0.301000;-0.0634;-0.0490;0.1107;0.137
0.306000;-0.1264;-0.0871;0.1533;0.217
0.311000;-0.1627;-0.0895;0.2437;0.306
0.315000;-0.2106;-0.1044;0.2719;0.359
0.322000;-0.2845;-0.1608;0.3027;0.445
0.325000;-0.3155;-0.1512;0.3026;0.463
0.330000;-0.3488;-0.1425;0.2121;0.432
0.335000;-0.3395;-0.1298;0.1220;0.383
0.340000;-0.3497;-0.1346;0.0300;0.376
0.345000;-0.3268;-0.1541;-0.0665;0.367
0.349000;-0.3139;-0.1546;-0.1604;0.385
0.356000;-0.2704;-0.1430;-0.2325;0.384
0.359000;-0.2466;-0.1215;-0.2665;0.383
0.364000;-0.1731;-0.1185;-0.2933;0.361
0.369000;-0.1216;-0.0956;-0.2941;0.332
0.374000;-0.0992;-0.0744;-0.2617;0.290
0.379000;-0.0646;-0.0573;-0.2438;0.259
0.383000;-0.0297;-0.0705;-0.1785;0.194
0.389000;-0.0301;-0.0640;-0.1564;0.172
0.394000;-0.0393;-0.0856;-0.0963;0.135
0.399000;-0.1078;-0.0877;0.0017;0.139
0.403000;-0.1283;-0.0872;0.0851;0.177
0.408000;-0.1942;-0.0701;0.1445;0.252
0.413000;-0.1982;-0.1035;0.1847;0.290
0.418000;-0.2285;-0.1207;0.1629;0.305
0.423000;-0.2395;-0.1407;0.1198;0.303
0.428000;-0.2364;-0.1826;0.1104;0.319
0.433000;-0.2121;-0.1749;0.1035;0.294
0.438000;-0.2192;-0.1652;0.0490;0.279
0.443000;-0.2146;-0.1296;0.0401;0.254
0.448000;-0.1699;-0.1277;0.0241;0.214
0.453000;-0.1352;-0.0996;0.0081;0.168
0.457000;-0.0889;-0.0785;0.0136;0.119
0.463000;-0.0377;-0.0931;0.0072;0.101
0.468000;-0.0031;-0.0981;-0.0300;0.103
0.474000;0.0173;-0.0957;-0.0503;0.110
0.477000;-0.0096;-0.0791;-0.0562;0.097
0.482000;0.0043;-0.0436;-0.0596;0.074
0.487000;-0.0294;-0.0176;-0.0347;0.049
0.492000;-0.0273;-0.0224;-0.0361;0.050
0.497000;-0.0372;-0.0151;-0.0352;0.053
0.501000;-0.0327;-0.0410;-0.0035;0.053
0.507000;0.0025;-0.0570;-0.0029;0.057
0.511000;-0.0003;-0.0704;0.0166;0.072
0.516000;-0.0052;-0.0457;-0.0044;0.046
0.521000;-0.0216;-0.0829;-0.0086;0.086
0.526000;0.0007;-0.0767;-0.0532;0.093
0.531000;-0.0145;-0.0396;-0.0666;0.079
0.536000;-0.0054;-0.0358;-0.0894;0.096
0.541000;0.0227;-0.0247;-0.0718;0.079
0.545000;0.0221;-0.0233;-0.0875;0.093
0.550000;0.0378;-0.0455;-0.0604;0.085
0.556000;0.0271;-0.0129;-0.0715;0.078
0.561000;0.0256;-0.0066;-0.0540;0.060
0.565000;0.0191;0.0186;-0.0628;0.068
0.570000;0.0006;0.0459;-0.0621;0.077
0.575000;-0.0060;0.0515;-0.0826;0.098
0.580000;0.0137;0.0310;-0.0674;0.075
0.585000;0.0286;0.0603;-0.0879;0.110
0.599000;0.0199;0.0372;-0.0892;0.099
0.600000;0.0636;0.0261;-0.1261;0.144
0.600000;0.0617;0.0435;-0.1531;0.171
0.604000;0.0884;0.0489;-0.1444;0.176
0.624000;0.0652;0.0234;-0.1713;0.185
0.624000;0.0613;0.0147;-0.1861;0.196
0.625000;0.0528;-0.0058;-0.1961;0.203
0.625000;0.0565;-0.0048;-0.1917;0.200
0.629000;0.0745;-0.0228;-0.2371;0.250
0.634000;0.0641;-0.0288;-0.2988;0.307
0.639000;0.0468;0.0033;-0.3481;0.351
0.643000;0.0441;0.0116;-0.3900;0.393
0.649000;0.0723;0.0152;-0.3864;0.393
0.653000;0.0792;-0.0140;-0.3854;0.394
0.660000;0.0670;-0.0021;-0.4130;0.418
0.663000;0.0477;0.0055;-0.4192;0.422
0.668000;0.0380;-0.0007;-0.3637;0.366
0.673000;-0.0072;0.0291;-0.3279;0.329
0.678000;-0.0404;0.0471;-0.2853;0.292
0.682000;-0.0069;0.0344;-0.2360;0.239
0.688000;-0.0241;0.0172;-0.2156;0.218
